2.000000000000000000e+00 -4.678860000000000241e-01 -4.633169999999999789e-01 2.875949999999999731e-04
1.925000000000000044e+00 -4.813160000000000216e-01 -4.779749999999999832e-01 2.618710000000000005e-04
1.850000000000000089e+00 -4.930240000000000178e-01 -4.944330000000000114e-01 2.589590000000000121e-04
1.774999999999999911e+00 -5.110909999999999620e-01 -5.113820000000000032e-01 2.912720000000000261e-04
1.699999999999999956e+00 -5.268969999999999487e-01 -5.298789999999999889e-01 2.731680000000000111e-04
1.625000000000000000e+00 -5.510850000000000470e-01 -5.492000000000000215e-01 3.092699999999999985e-04
1.550000000000000044e+00 -5.701450000000000129e-01 -5.694479999999999542e-01 2.897509999999999843e-04
1.475000000000000089e+00 -5.896730000000000027e-01 -5.923629999999999729e-01 2.861949999999999932e-04
1.399999999999999911e+00 -6.117409999999999792e-01 -6.148519999999999541e-01 2.808779999999999762e-04
1.325000000000000178e+00 -6.385020000000000140e-01 -6.405849999999999600e-01 3.271689999999999841e-04
1.250000000000000000e+00 -6.709859999999999713e-01 -6.665330000000000421e-01 3.369860000000000021e-04
1.175000000000000044e+00 -6.979039999999999688e-01 -6.949109999999999454e-01 3.751429999999999826e-04
1.100000000000000089e+00 -7.304070000000000285e-01 -7.248719999999999608e-01 4.245699999999999821e-04
1.024999999999999911e+00 -7.546429999999999527e-01 -7.569379999999999997e-01 3.931760000000000181e-04
9.499999999999999556e-01 -7.906159999999999854e-01 -7.899100000000000010e-01 4.177179999999999739e-04
8.750000000000000000e-01 -8.311220000000000274e-01 -8.252530000000000143e-01 5.530210000000000030e-04
8.000000000000000444e-01 -8.615850000000000453e-01 -8.619160000000000155e-01 6.564949999999999952e-04
7.250000000000000888e-01 -9.125609999999999555e-01 -8.997730000000000450e-01 7.121060000000000020e-04
6.500000000000001332e-01 -9.289819999999999744e-01 -9.389250000000000096e-01 9.906179999999999673e-04
5.749999999999999556e-01 -9.678400000000000336e-01 -9.750619999999999843e-01 9.331920000000000059e-04
5.000000000000000000e-01 -9.896719999999999962e-01 -1.004669999999999952e+00 7.001709999999999748e-04
