#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
          52   -0.475896   -0.473161 0.000317872
          53    -0.47263   -0.473151 0.000312032
          54   -0.472224   -0.473134 0.000306725
          55     -0.4725   -0.473122 0.000301365
          56   -0.472933   -0.473119 0.000296003
          57   -0.473693   -0.473129 0.000290981
          58    -0.47227   -0.473114  0.00028634
          59   -0.472364   -0.473101 0.000281769
          60   -0.474771   -0.473129 0.000278444
          61   -0.469982   -0.473078  0.00027862
          62   -0.472218   -0.473064 0.000274471
          63   -0.471858   -0.473045  0.00027078
          64   -0.471646   -0.473023 0.000267429
          65   -0.471662   -0.473002 0.000264134
          66   -0.472971   -0.473001 0.000260132
          67   -0.468599   -0.472936 0.000264416
          68   -0.475096   -0.472967 0.000262428
          69   -0.473766   -0.472979  0.00025888
          70   -0.471823   -0.472962 0.000255708
          71   -0.474845   -0.472989 0.000253478
          72   -0.472535   -0.472983 0.000250036
          73   -0.473847   -0.472994  0.00024689
          74    -0.47322   -0.472997 0.000243573
          75   -0.477045   -0.473051 0.000246232
          76   -0.476971   -0.473103 0.000248334
          77   -0.469825    -0.47306  0.00024873
          78   -0.471467    -0.47304 0.000246379
          79   -0.473201   -0.473042 0.000243269
          80    -0.47336   -0.473046 0.000240261
          81   -0.471887   -0.473032  0.00023772
          82   -0.474895   -0.473054 0.000235905
          83   -0.472499   -0.473048 0.000233157
          84   -0.473881   -0.473058 0.000230592
          85   -0.469362   -0.473014 0.000231942
          86   -0.475064   -0.473038 0.000230467
          87    -0.47599   -0.473072 0.000230302
          88   -0.473461   -0.473076 0.000227728
          89   -0.470891   -0.473052 0.000226489
          90   -0.471619   -0.473036 0.000224531
          91    -0.47428    -0.47305  0.00022248
          92     -0.4733   -0.473052 0.000220078
          93   -0.472113   -0.473042 0.000217944
          94   -0.470221   -0.473012 0.000217682
          95    -0.47436   -0.473026 0.000215853
          96   -0.471317   -0.473009 0.000214338
          97   -0.471773   -0.472996 0.000212506
          98   -0.479487   -0.473062 0.000220417
          99   -0.476011   -0.473092 0.000220195
         100   -0.474555   -0.473106 0.000218478
           1   -0.487182   -0.487182           0
           2   -0.489528   -0.488355 0.000829436
           3   -0.485946   -0.487552 0.000857775
           4    -0.48563   -0.487072 0.000766119
           5   -0.484067   -0.486471 0.000815125
           6   -0.479325    -0.48528  0.00128189
           7   -0.482803   -0.484926  0.00114655
           8   -0.483611   -0.484762  0.00101494
           9   -0.482572   -0.484518 0.000930864
          10   -0.484781   -0.484545 0.000838147
          11   -0.483562   -0.484455 0.000766693
          12    -0.48459   -0.484466 0.000702884
          13   -0.485396   -0.484538 0.000652441
          14   -0.483965   -0.484497 0.000607121
          15   -0.486058   -0.484601   0.0005755
          16   -0.480832   -0.484366 0.000585769
          17   -0.480686   -0.484149 0.000589955
          18   -0.486106   -0.484258  0.00056711
          19    -0.48335    -0.48421 0.000539273
          20   -0.487956   -0.484397 0.000543861
          21   -0.481191   -0.484245 0.000538971
          22   -0.484355    -0.48425 0.000514495
          23   -0.484429   -0.484257 0.000492185
          24   -0.483905   -0.484243 0.000471896
          25   -0.478136   -0.483998 0.000512363
          26   -0.481357   -0.483897 0.000502629
          27   -0.483269   -0.483874  0.00048455
          28   -0.479129   -0.483704 0.000495995
          29   -0.483838   -0.483709 0.000478913
          30   -0.488003   -0.483852 0.000483872
          31    -0.48475   -0.483881  0.00046913
          32   -0.482149   -0.483827 0.000457582
          33   -0.487602   -0.483941  0.00045779
          34    -0.48451   -0.483958 0.000444631
          35   -0.482842   -0.483926  0.00043307
          36   -0.478178   -0.483766 0.000449509
          37   -0.483172    -0.48375 0.000437647
          38   -0.485798   -0.483804 0.000429436
          39   -0.480792   -0.483727 0.000425314
          40   -0.482956   -0.483708 0.000415117
          41   -0.486109   -0.483766 0.000409104
          42   -0.480358   -0.483685 0.000407334
          43   -0.486033    -0.48374 0.000401502
