#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
            167        2.42589        2.86478      0.0102045
            168        2.40968        2.86207      0.0104972
            169        2.39486         2.8593       0.010793
            170        2.38153        2.85649      0.0110894
            171        2.36981        2.85365      0.0113839
            172        2.35981        2.85078      0.0116741
            173         2.3516        2.84789      0.0119579
            174        2.34525          2.845      0.0122332
            175        2.34083        2.84212      0.0124979
            176        2.33837        2.83926      0.0127504
            177         2.3379        2.83643      0.0129892
            178        2.33941        2.83363      0.0132129
            179        2.34289        2.83089      0.0134205
            180        2.34832        2.82821      0.0136111
            181        2.35564         2.8256       0.013784
            182        2.36479        2.82307      0.0139389
            183         2.3757        2.82062      0.0140755
            184        2.38827        2.81827      0.0141938
            185        2.40241        2.81603      0.0142939
            186        2.41799        2.81389      0.0143764
            187        2.43491        2.81186      0.0144416
            188        2.45303        2.80995      0.0144904
            189        2.47223        2.80816      0.0145235
            190        2.49237         2.8065      0.0145418
            191        2.51332        2.80497      0.0145465
            192        2.53494        2.80356      0.0145385
            193        2.55711        2.80228      0.0145192
            194        2.57969        2.80114      0.0144896
            195        2.60255        2.80012       0.014451
            196        2.62559        2.79923      0.0144047
            197        2.64869        2.79846      0.0143519
            198        2.67173        2.79782      0.0142936
            199        2.69463         2.7973      0.0142312
            200         2.7173         2.7969      0.0141657
            201        2.73964        2.79662      0.0140981
            202        2.76158        2.79645      0.0140293
            203        2.78306        2.79638      0.0139604
            204        2.80402        2.79642       0.013892
            205         2.8244        2.79655      0.0138249
            206        2.84416        2.79679      0.0137597
            207        2.86326        2.79711       0.013697
            208        2.88167        2.79751      0.0136372
            209        2.89936          2.798      0.0135806
            210        2.91632        2.79856      0.0135277
            211        2.93251         2.7992      0.0134784
            212        2.94795         2.7999      0.0134331
            213         2.9626        2.80066      0.0133917
            214        2.97648        2.80149      0.0133543
            215        2.98958        2.80236      0.0133208
            216         3.0019        2.80328      0.0132912
            217        3.01345        2.80425      0.0132652
            218        3.02423        2.80526      0.0132426
            219        3.03424        2.80631      0.0132234
            220        3.04351        2.80739      0.0132072
            221        3.05202        2.80849      0.0131937
            222         3.0598        2.80962      0.0131828
            223        3.06686        2.81078       0.013174
            224        3.07321        2.81195      0.0131672
            225        3.07886        2.81314       0.013162
            226        3.08383        2.81433      0.0131581
            227        3.08812        2.81554      0.0131553
            228        3.09177        2.81675      0.0131533
            229        3.09478        2.81797      0.0131518
            230        3.09718        2.81918      0.0131505
            231        3.09899        2.82039      0.0131492
            232        3.10023         2.8216      0.0131478
            233        3.10093         2.8228      0.0131459
            234        3.10114        2.82399      0.0131434
            235        3.10087        2.82516      0.0131402
            236        3.10018        2.82633      0.0131361
            237        3.09911        2.82748       0.013131
            238        3.09769        2.82862      0.0131248
            239          3.096        2.82973      0.0131175
            240        3.09407        2.83084       0.013109
            241        3.09197        2.83192      0.0130993
            242        3.08975        2.83298      0.0130884
            243        3.08747        2.83403      0.0130764
            244        3.08517        2.83506      0.0130632
            245        3.08292        2.83607       0.013049
            246        3.08076        2.83707      0.0130339
            247        3.07872        2.83805      0.0130177
            248        3.07684        2.83901      0.0130008
            249        3.07514        2.83996      0.0129832
            250        3.07364        2.84089      0.0129648
            251        3.07233        2.84181      0.0129459
            252        3.07122        2.84272      0.0129265
            253        3.07029        2.84362      0.0129067
            254        3.06951        2.84451      0.0128865
            255        3.06887        2.84539      0.0128659
            256        3.06833        2.84626      0.0128451
            257        3.06787        2.84713       0.012824
            258        3.06744        2.84798      0.0128027
            259        3.06701        2.84883      0.0127812
            260        3.06656        2.84966      0.0127594
            261        3.06605        2.85049      0.0127375
            262        3.06546        2.85131      0.0127153
            263        3.06478        2.85212      0.0126928
            264        3.06399        2.85293      0.0126701
            265        3.06309        2.85372       0.012647
            266        3.06206         2.8545      0.0126237
            267        3.06092        2.85528      0.0126001
            268        3.05968        2.85604      0.0125761
            269        3.05833        2.85679      0.0125519
            270         3.0569        2.85753      0.0125272
            271         3.0554        2.85826      0.0125023
            272        3.05386        2.85898       0.012477
            273        3.05229        2.85969      0.0124513
            274        3.05071        2.86039      0.0124254
            275        3.04914        2.86107      0.0123991
            276         3.0476        2.86175      0.0123726
            277        3.04612        2.86241      0.0123459
            278         3.0447        2.86307      0.0123188
            279        3.04337        2.86372      0.0122916
            280        3.04214        2.86435      0.0122642
            281        3.04103        2.86498      0.0122367
            282        3.04003         2.8656       0.012209
            283        3.03917        2.86622      0.0121813
            284        3.03844        2.86682      0.0121535
            285        3.03785        2.86742      0.0121257
            286        3.03741        2.86802      0.0120978
            287        3.03711        2.86861        0.01207
            288        3.03694        2.86919      0.0120422
            289        3.03692        2.86977      0.0120145
            290        3.03701        2.87035      0.0119869
            291        3.03723        2.87092      0.0119595
            292        3.03755        2.87149      0.0119321
            293        3.03797        2.87206      0.0119049
            294        3.03848        2.87263      0.0118779
            295        3.03905        2.87319       0.011851
            296        3.03967        2.87375      0.0118243
            297        3.04032        2.87431      0.0117978
            298        3.04099        2.87487      0.0117714
            299        3.04166        2.87543      0.0117453
            300        3.04231        2.87599      0.0117193
            301        3.04291        2.87654      0.0116935
            302        3.04345        2.87709      0.0116678
            303         3.0439        2.87764      0.0116423
            304        3.04426        2.87819      0.0116169
            305        3.04449        2.87874      0.0115916
            306        3.04457        2.87928      0.0115663
            307         3.0445        2.87982      0.0115412
            308        3.04424        2.88035      0.0115161
            309        3.04379        2.88088      0.0114909
            310        3.04313         2.8814      0.0114658
            311        3.04224        2.88192      0.0114406
            312        3.04111        2.88243      0.0114153
            313        3.03974        2.88293      0.0113899
            314        3.03811        2.88343      0.0113643
            315        3.03623        2.88391      0.0113386
            316         3.0341        2.88439      0.0113126
            317        3.03171        2.88485      0.0112865
            318        3.02908        2.88531      0.0112601
            319        3.02622        2.88575      0.0112335
            320        3.02314        2.88618      0.0112066
            321        3.01989        2.88659      0.0111794
            322        3.01647          2.887       0.011152
            323        3.01293        2.88739      0.0111242
            324         3.0093        2.88776      0.0110963
            325        3.00564        2.88813      0.0110681
            326        3.00198        2.88848      0.0110396
            327        2.99838        2.88881       0.011011
            328         2.9949        2.88914      0.0109821
            329        2.99157        2.88945      0.0109532
            330        2.98847        2.88975      0.0109241
            331        2.98562        2.89004      0.0108949
            332        2.98309        2.89032      0.0108657
            333        2.98091        2.89059      0.0108365
            334        2.97911        2.89085      0.0108073
            335        2.97773        2.89111      0.0107781
            336        2.97677        2.89137      0.0107491
            337        2.97624        2.89162      0.0107201
            338        2.97616        2.89187      0.0106913
            339        2.97652        2.89212      0.0106627
            340        2.97729        2.89237      0.0106343
            341        2.97848        2.89262      0.0106061
            342        2.98005        2.89288      0.0105782
            343        2.98199        2.89314      0.0105505
            344        2.98426         2.8934      0.0105232
            345        2.98684        2.89367      0.0104962
            346         2.9897        2.89395      0.0104695
            347        2.99281        2.89424      0.0104432
            348        2.99613        2.89453      0.0104173
            349        2.99965        2.89483      0.0103918
            350        3.00333        2.89514      0.0103667
            351        3.00714        2.89546      0.0103421
            352        3.01105        2.89579      0.0103179
            353        3.01503        2.89613      0.0102942
            354        3.01904        2.89647       0.010271
            355        3.02306        2.89683      0.0102483
            356        3.02704         2.8972       0.010226
            357        3.03097        2.89757      0.0102042
            358        3.03479        2.89795      0.0101829
            359        3.03849        2.89834      0.0101621
            360        3.04202        2.89874      0.0101417
            361        3.04535        2.89915      0.0101217
            362        3.04846        2.89956      0.0101021
            363        3.05132        2.89998       0.010083
            364         3.0539         2.9004      0.0100641
            365        3.05619        2.90083      0.0100456
            366        3.05817        2.90126      0.0100273
            367        3.05981        2.90169      0.0100093
            368        3.06112        2.90213      0.0099915
            369        3.06209        2.90256     0.00997382
            370        3.06272        2.90299     0.00995626
            371          3.063        2.90342     0.00993876
