#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
            168        3.01527        3.00641    0.000896826
            169        3.01412        3.00646    0.000892676
            170        3.01288         3.0065    0.000888224
            171        3.01157        3.00653    0.000883525
            172        3.01019        3.00655    0.000878645
            173        3.00875        3.00656    0.000873659
            174        3.00726        3.00657    0.000868647
            175        3.00572        3.00656    0.000863697
            176        3.00414        3.00655    0.000858899
            177        3.00253        3.00652    0.000854346
            178         3.0009        3.00649     0.00085013
            179        2.99925        3.00645    0.000846342
            180         2.9976         3.0064    0.000843069
            181        2.99594        3.00634    0.000840388
            182         2.9943        3.00628    0.000838372
            183        2.99268         3.0062    0.000837079
            184        2.99108        3.00612    0.000836556
            185        2.98952        3.00603    0.000836836
            186          2.988        3.00594    0.000837935
            187        2.98653        3.00583    0.000839855
            188        2.98512        3.00572    0.000842581
            189        2.98378        3.00561    0.000846083
            190        2.98251        3.00548    0.000850316
            191        2.98132        3.00536    0.000855221
            192        2.98022        3.00523    0.000860727
            193        2.97922        3.00509    0.000866753
            194        2.97831        3.00495    0.000873212
            195         2.9775        3.00481    0.000880008
            196        2.97681        3.00467    0.000887043
            197        2.97622        3.00453    0.000894218
            198        2.97575        3.00438    0.000901433
            199         2.9754        3.00423    0.000908592
            200        2.97517        3.00409    0.000915601
            201        2.97505        3.00394    0.000922372
            202        2.97506         3.0038    0.000928824
            203        2.97519        3.00366    0.000934883
            204        2.97543        3.00352    0.000940485
            205        2.97579        3.00339    0.000945574
            206        2.97627        3.00326    0.000950102
            207        2.97686        3.00313    0.000954033
            208        2.97755        3.00301    0.000957341
            209        2.97834        3.00289    0.000960009
            210        2.97922        3.00277    0.000962029
            211        2.98019        3.00267    0.000963403
            212        2.98125        3.00257    0.000964143
            213        2.98237        3.00247    0.000964266
            214        2.98356        3.00238      0.0009638
            215        2.98481         3.0023    0.000962776
            216        2.98611        3.00223    0.000961234
            217        2.98744        3.00216    0.000959217
            218         2.9888         3.0021    0.000956772
            219        2.99019        3.00204    0.000953947
            220        2.99158          3.002    0.000950795
            221        2.99299        3.00195    0.000947366
            222        2.99438        3.00192    0.000943713
            223        2.99577        3.00189    0.000939885
            224        2.99713        3.00187    0.000935929
            225        2.99847        3.00186    0.000931892
            226        2.99977        3.00185    0.000927814
            227        3.00103        3.00184    0.000923734
            228        3.00225        3.00185    0.000919684
            229        3.00343        3.00185    0.000915694
            230        3.00454        3.00186    0.000911787
            231        3.00561        3.00188    0.000907984
            232        3.00661         3.0019      0.0009043
            233        3.00756        3.00192    0.000900744
            234        3.00844        3.00195    0.000897326
            235        3.00927        3.00198    0.000894047
            236        3.01004        3.00202     0.00089091
            237        3.01075        3.00205    0.000887912
            238         3.0114        3.00209    0.000885049
            239          3.012        3.00214    0.000882315
            240        3.01255        3.00218    0.000879706
            241        3.01306        3.00222    0.000877213
            242        3.01352        3.00227     0.00087483
            243        3.01395        3.00232     0.00087255
            244        3.01435        3.00237    0.000870367
            245        3.01473        3.00242    0.000868275
            246        3.01508        3.00247    0.000866271
            247        3.01543        3.00252     0.00086435
            248        3.01576        3.00258    0.000862512
            249         3.0161        3.00263    0.000860757
            250        3.01644        3.00269    0.000859085
            251        3.01679        3.00274    0.000857499
            252        3.01717         3.0028    0.000856004
            253        3.01756        3.00286    0.000854607
            254        3.01798        3.00292    0.000853313
            255        3.01843        3.00298    0.000852134
            256        3.01892        3.00304    0.000851078
            257        3.01945         3.0031    0.000850159
            258        3.02002        3.00317    0.000849389
            259        3.02064        3.00324    0.000848782
