10000	5.62053	0	
20000	5.36516	0.25537	
30000	5.2299	0.200084	
40000	5.18237	0.149252	
50000	5.1366	0.12434	
60000	5.14091	0.101615	
70000	5.10401	0.0934721	
80000	5.07191	0.0870839	
90000	5.06594	0.0770325	
100000	5.04698	0.0714597	
110000	5.04527	0.0646604	
120000	5.02903	0.0612199	
130000	5.01076	0.0592037	
140000	4.99686	0.0565465	
150000	4.97855	0.0557346	
160000	4.98402	0.0524203	
170000	4.97444	0.0501617	
180000	4.9807	0.0477048	
190000	4.97815	0.0451962	
200000	4.97701	0.0428922	
210000	4.98312	0.0412542	
220000	4.98373	0.039339	
230000	4.98691	0.0377239	
240000	4.99239	0.0365322	
250000	4.99668	0.0353017	
260000	4.98848	0.0348939	
270000	4.99441	0.0340966	
280000	4.99244	0.0329151	
290000	4.99687	0.0320673	
300000	4.99642	0.0309833	
310000	4.99296	0.0301658	
320000	4.99218	0.0292185	
330000	4.99275	0.0283251	
340000	4.99686	0.0277847	
350000	5.00053	0.0272285	
360000	4.99665	0.026745	
370000	4.99835	0.0260674	
380000	4.99618	0.0254646	
390000	4.99785	0.0248591	
400000	4.99827	0.0242333	
410000	5.00308	0.0241188	
420000	5.00607	0.0237272	
430000	5.00439	0.0232299	
440000	5.00704	0.0228495	
450000	5.0078	0.0223491	
460000	5.00963	0.0219344	
470000	5.01066	0.0214873	
480000	5.0107	0.0210349	
490000	5.01001	0.0206126	
500000	5.00644	0.0205094	
510000	5.00492	0.0201609	
520000	5.00437	0.0197769	
530000	5.0068	0.0195514	
540000	5.01061	0.0195601	
550000	5.01109	0.0192071	
560000	5.01085	0.0188625	
570000	5.00905	0.0186157	
580000	5.00608	0.0185307	
590000	5.00387	0.0183482	
600000	5.0037	0.0180406	
610000	5.00442	0.0177568	
620000	5.00769	0.0177722	
630000	5.00756	0.0174883	
640000	5.00844	0.0172351	
650000	5.00763	0.016987	
660000	5.00672	0.0167525	
670000	5.00507	0.0165827	
680000	5.0078	0.016564	
690000	5.0089	0.016359	
700000	5.00753	0.0161815	
710000	5.00769	0.0159528	
720000	5.0059	0.0158312	
730000	5.00622	0.0156163	
740000	5.00304	0.0157297	
750000	5.00119	0.0156286	
760000	5.00246	0.0154742	
770000	5.00335	0.0152977	
780000	5.00405	0.0151165	
790000	5.00394	0.0149243	
800000	5.00426	0.0147399	
810000	5.00518	0.0145858	
820000	5.00354	0.0144992	
830000	5.00234	0.0143736	
840000	5.00101	0.0142644	
850000	5.00105	0.0140957	
860000	5.00092	0.0139313	
870000	4.99966	0.0138283	
880000	4.99889	0.0136921	
890000	4.99946	0.0135495	
900000	4.99972	0.0134007	
910000	5.00145	0.0133651	
920000	5.00264	0.0132726	
930000	5.00329	0.0131452	
940000	5.00176	0.0130947	
950000	5.002	0.0129582	
960000	5.00174	0.0128252	
970000	5.00343	0.0128045	
980000	5.0024	0.0127144	
990000	5.00244	0.0125854	
1000000	5.00153	0.0124921	
