10000	5.7322	0	
20000	5.42294	0.309267	
30000	5.29632	0.218893	
40000	5.2245	0.17063	
50000	5.19638	0.135128	
60000	5.17733	0.111964	
70000	5.14774	0.0991463	
80000	5.12454	0.0889411	
90000	5.10005	0.0821737	
100000	5.08086	0.0759628	
110000	5.05492	0.0734445	
120000	5.0455	0.0677041	
130000	5.05136	0.062554	
140000	5.04603	0.0581583	
150000	5.04856	0.0542017	
160000	5.0388	0.0516326	
170000	5.03545	0.0486163	
180000	5.03451	0.0458454	
190000	5.0256	0.0442716	
200000	5.02015	0.0423514	
210000	5.01326	0.0408693	
220000	5.01887	0.0393681	
230000	5.02147	0.0377076	
240000	5.02771	0.0366375	
250000	5.02733	0.0351435	
260000	5.0259	0.0337951	
270000	5.02005	0.0330419	
280000	5.02406	0.0320919	
290000	5.02076	0.0311408	
300000	5.01846	0.0301731	
310000	5.01675	0.0292334	
320000	5.01587	0.028319	
330000	5.01322	0.0275748	
340000	5.01171	0.026794	
350000	5.01436	0.0261523	
360000	5.01635	0.0254927	
370000	5.0185	0.0248878	
380000	5.02027	0.0242883	
390000	5.02131	0.0236801	
400000	5.0218	0.0230857	
410000	5.02226	0.0225202	
420000	5.02027	0.0220669	
430000	5.01905	0.0215824	
440000	5.01938	0.0210888	
450000	5.01643	0.0208251	
460000	5.01456	0.0204527	
470000	5.01488	0.0200153	
480000	5.01801	0.0198418	
490000	5.02071	0.0196194	
500000	5.02065	0.0192231	
510000	5.0195	0.0188776	
520000	5.01648	0.018755	
530000	5.01586	0.0184082	
540000	5.01509	0.0180807	
550000	5.01486	0.0177504	
560000	5.01334	0.017497	
570000	5.01676	0.0175251	
580000	5.01737	0.017231	
590000	5.0144	0.0171953	
600000	5.01618	0.0169998	
610000	5.01645	0.016721	
620000	5.01605	0.0164539	
630000	5.018	0.0163078	
640000	5.01826	0.0160531	
650000	5.01584	0.015989	
660000	5.01791	0.0158806	
670000	5.02114	0.0159713	
680000	5.01963	0.0158065	
690000	5.02123	0.0156573	
700000	5.02026	0.0154623	
710000	5.02249	0.0154053	
720000	5.02231	0.015191	
730000	5.02026	0.0151201	
740000	5.02149	0.0149643	
750000	5.02009	0.0148297	
760000	5.02077	0.0146494	
770000	5.01852	0.0146325	
780000	5.0175	0.0144795	
790000	5.01804	0.0143052	
800000	5.01997	0.0142571	
810000	5.02106	0.0141218	
820000	5.01939	0.0140477	
830000	5.02071	0.0139399	
840000	5.02095	0.0137751	
850000	5.01963	0.0136766	
860000	5.01932	0.0135201	
870000	5.01918	0.0133645	
880000	5.01876	0.0132186	
890000	5.02016	0.0131442	
900000	5.02058	0.0130042	
910000	5.01942	0.0129129	
920000	5.01981	0.0127778	
930000	5.01884	0.0126769	
940000	5.01698	0.0126777	
950000	5.01491	0.0127137	
960000	5.0144	0.0125909	
970000	5.01372	0.0124793	
980000	5.01364	0.0123516	
990000	5.0152	0.0123257	
1000000	5.01396	0.0122647	
