-0.5477 166.921
-9.43333 159.95
-17.7333 168.317
-18.1333 178.417
-8.51667 179.217
-13.8167 -171.767
-21.1333 -175.2
-41.3 174.783
-35.2667 149.133
-9.45 147.183
-8.58333 125.6
-6.16667 106.817
1.28333 103.85
3.16667 101.7
11.55 104.917
21.0333 105.85
17.9667 102.6
13.75 100.517
16.8 96.15
23.7167 90.4
27.4667 89.6333
27.7167 85.3167
6.91667 79.8333
4.16667 73.5
-4.61667 55.45
-20.15 57.4833
-18.9167 47.5167
-11.7 43.2333
-6.8 39.2833
-13.9667 33.7833
-15.4167 28.2833
-17.8167 31.0333
-25.95 32.5833
-29.3167 27.4833
-25.7 28.2167
-24.6333 25.9
-22.5667 17.0833
-8.83333 13.2167
-4.31667 15.3
0.383333 9.45
0.333333 6.73333
3.75 8.78333
9.08333 7.53333
3.86667 11.5167
4.36667 18.5833
12.1 15.0333
30.05 31.25
15.6 32.5333
15.3333 38.9333
9.03333 38.7
4.85 31.6167
0.316667 32.55
-1.95 30.05
-3.36667 29.35
-1.28333 36.8167
2.06667 45.3333
11.5833 43.15
15.35 44.2
24.65 46.7
29.3667 47.9667
26.2333 50.5667
25.2833 51.5333
24.4667 54.3667
23.6167 58.5833
28.6 77.2
33.6833 73.05
34.5167 69.1833
38.55 68.7667
42.8667 74.6
41.3167 69.25
37.95 58.3833
35.7 51.4167
40.3833 49.8667
41.6833 44.8333
40.1667 44.5
33.3333 44.4
31.95 35.9333
31.7667 35.2333
33.5 36.3
33.8667 35.5
35.1667 33.3667
39.9333 32.8667
37.9833 23.7333
41.3167 19.8167
42.4333 19.2667
43.9333 12.4167
46.9167 7.46667
48.8667 2.33333
42.5 1.51667
43.7333 7.41667
41.9 12.4833
35.8833 14.5
32.8833 13.1667
36.8 10.1833
36.75 3.05
40.4 -3.68333
38.7167 -9.13333
34.0167 -6.81667
13.5167 2.11667
12.3667 -1.51667
6.48333 2.61667
6.11667 1.21667
5.55 -0.216667
6.81667 -5.26667
12.65 -8
6.3 -10.8
8.48333 -13.2333
9.5 -13.7
11.85 -15.5833
18.0667 -15.9667
14.7333 -17.6333
-15.7833 -47.9167
-25.2667 -57.6667
-34.85 -56.1667
-34.5833 -58.6667
-33.45 -70.6667
-16.5 -68.15
-12.05 -77.05
-0.216667 -78.5
9.93333 -84.0833
12.1333 -86.25
13.7 -89.2
14.6167 -90.5167
19.4333 -99.1333
17.25 -88.7667
14.1 -87.2167
8.96667 -79.5333
4.6 -74.0833
10.4833 -66.8667
6.8 -58.15
5.83333 -55.1667
10.65 -61.5167
12.05 -61.75
13.1333 -61.2167
13.1 -59.6167
14 -61
15.3 -61.4
17.1167 -61.85
17.3 -62.7167
18.4667 -69.9
18.5333 -72.3333
18 -76.8
23.1167 -82.35
25.0833 -77.35
38.8833 -77
45.4167 -75.7
64.15 -21.95
53.3167 -6.23333
51.5 -0.083333
52.35 4.91667
50.8333 4.33333
49.6 6.11667
47.1333 9.51667
50.0833 14.4667
52.5167 13.4
55.6667 12.5833
59.9167 10.75
59.3333 18.05
60.1667 24.9333
59.4333 24.7167
56.95 24.1
54.6833 25.3167
53.9 27.5667
52.25 21
47.5 19.0833
48.15 17.1167
48.2 16.3667
46.05 14.5167
45.8 16
43.8667 18.4167
44.8333 20.5
42.6833 23.3167
44.4333 26.1
47 28.85
50.4333 30.5167
55.75 37.6
51.1667 71.4167
47.9167 106.917
39.9167 116.383
39.0167 125.75
37.55 126.983
35.6833 139.75
14.6 120.967
7.48333 134.633
7.1 171.383
-0.883333 169.533
-0.5477 166.921
