0 1.2714e+06 1.3528e+06
1 1.25251e+06 1.28993e+06
2 1.2181e+06 1.26249e+06
3 1.20491e+06 1.23503e+06
4 1.18638e+06 1.21482e+06
5 1.17736e+06 1.19914e+06
6 1.16134e+06 1.18489e+06
7 1.12825e+06 1.17114e+06
8 1.10956e+06 1.14671e+06
9 1.09634e+06 1.12507e+06
10 1.07419e+06 1.10739e+06
11 1.06499e+06 1.08968e+06
12 1.05073e+06 1.07202e+06
13 1.03057e+06 1.05799e+06
14 1.02256e+06 1.03964e+06
15 1.00923e+06 1.02969e+06
16 994271 1.01999e+06
17 989241 1.00586e+06
18 969304 994561
19 953761 981311
20 939586 965394
21 927223 954117
22 919035 940984
23 912533 929091
24 901829 921419
25 892244 910440
26 883091 900162
27 875501 891131
28 860692 882794
29 850957 872754
30 825384 860659
31 809782 843809
32 802968 824868
33 797226 813358
34 790284 805937
35 786601 799637
36 782166 793148
37 775582 788725
38 769039 782408
39 755220 776943
40 755220 766735
41 747493 757760
42 746192 753323
43 740155 750177
44 736980 747902
45 727399 742419
46 717753 735706
47 709984 728470
48 696132 718928
49 686921 708266
50 685410 698320
51 679832 690309
52 678744 684776
53 673410 681154
54 662051 677209
55 654625 671521
56 651912 663088
57 649095 657133
58 644279 652781
59 641941 649146
60 636861 645756
61 625658 641375
62 625616 636366
63 620600 629871
64 620018 625612
65 616794 622539
66 612483 620076
67 604558 617617
68 603274 613617
69 594934 609188
70 589044 602432
71 585845 596028
72 579956 589636
73 571120 585227
74 567593 579513
75 566696 574035
76 563442 570271
77 563442 567374
78 561314 564950
79 559062 563362
80 555590 561902
81 549319 559298
82 547281 555940
83 539630 552086
84 532991 547126
85 525086 541919
86 522614 537010
87 520763 528831
88 519965 523973
89 517056 521216
90 515510 519849
91 511047 517762
92 508970 515465
93 505916 512806
94 497234 509745
95 490378 505850
96 485427 499115
97 484663 491525
98 480912 486922
99 480906 484291
100 478775 482323
101 473221 481106
102 471280 478678
103 469077 475696
104 467327 472062
105 458792 469271
106 453594 466850
107 453594 461669
108 450778 456761
109 450681 453939
110 449807 452810
111 447760 451651
112 446763 449863
113 443337 448384
114 440258 446349
115 437075 443770
116 433487 440748
117 430373 438184
118 428588 434835
119 427146 431610
120 410717 429920
121 404363 425989
122 404363 414515
123 402755 406153
124 399637 404575
125 396210 402641
126 394824 399725
127 393295 397597
128 392530 395832
129 389860 394083
130 389652 393025
131 388015 391514
132 387243 390840
133 386476 390103
134 386179 389157
135 383306 389817
136 377857 388610
137 376150 383969
138 374443 380741
139 373111 377893
140 371705 375452
141 368460 374424
142 367223 372472
143 365427 370399
144 365427 369055
145 365427 367182
146 363138 366234
147 362197 365057
148 360956 364247
149 360662 362638
150 357324 361476
151 356383 360394
152 353856 358476
153 352983 356599
154 351790 355318
155 351095 355412
156 350018 355196
157 350018 352316
158 349885 350553
159 349024 350136
160 348950 349737
161 347602 349380
162 347171 348785
163 346456 349404
164 346418 349565
165 344485 347488
166 342798 346586
167 341894 345946
168 341894 343756
169 340015 342377
170 338696 341545
171 336446 340440
172 336446 340552
173 335191 339743
174 330406 337881
175 330083 335466
176 330083 333070
177 330083 330967
178 329964 330254
179 329964 330071
180 326738 330012
181 325118 329744
182 325118 328056
183 322007 326277
184 322007 324896
185 320143 323332
186 316809 322142
187 315923 320185
188 315607 318053
189 314853 317239
190 313324 316490
191 311368 315332
192 309064 313643
193 308277 311565
194 307610 310353
195 307153 309237
196 307153 308826
197 307153 308208
198 305271 307544
199 304537 306834
200 304370 305705
201 302830 304850
202 302830 304067
203 301381 303297
204 300939 302562
205 300850 301792
206 299809 301122
207 299186 300793
208 297755 300149
209 296599 299100
210 296511 297939
211 294795 297196
212 294081 297070
213 292251 296062
214 291289 294403
215 290456 293058
216 288825 291842
217 287792 290212
218 287505 289562
219 286622 289090
220 286497 289491
221 285558 287520
222 283979 287122
223 282789 286529
224 282789 285932
225 282329 284121
226 282121 282930
227 279647 282799
228 277813 281619
229 277643 279914
230 275963 278526
231 275963 278311
232 275794 277355
233 274129 276081
234 272364 275627
235 272364 274693
236 271920 273272
237 271691 272392
238 269829 272536
239 269829 272266
240 268653 270796
241 267914 269888
242 267914 268757
243 266559 268335
244 266239 267839
245 265748 267022
246 265748 266349
247 264563 265974
248 264563 265618
249 264234 265062
250 264206 264703
251 263877 264530
252 263411 264509
253 263411 263874
254 263411 263639
255 263411 263457
256 263198 263410
257 263198 263432
258 263198 263418
259 262479 263741
260 262479 263093
261 262479 262753
262 262018 262547
263 262018 262412
264 261677 262236
265 261677 262014
266 261271 261882
267 261271 261638
268 259803 261414
269 259436 261077
270 258094 260447
271 257715 259321
272 257119 258483
273 257029 257701
274 256605 257342
275 255508 257091
276 255508 256651
277 253523 256065
278 253098 255244
279 253098 254073
280 252645 253372
281 252645 253217
282 252645 252906
283 252225 252701
284 252016 252576
285 251596 252938
286 251596 252976
287 251485 252824
288 251342 252034
289 250237 251778
290 249333 251852
291 248589 252036
292 248335 252202
293 245983 249777
294 245980 248128
295 245504 246768
296 245504 246189
297 244651 245818
298 244647 245423
299 243651 244962
300 243651 244565
301 242822 244030
302 242822 244886
303 242799 246520
304 241826 247663
305 241803 246957
306 241720 243915
307 241697 242514
308 241697 242824
309 241616 242115
310 241429 241735
311 241429 241608
312 241425 241509
313 240567 241452
314 239215 241260
315 238352 240623
316 238352 239329
317 237911 238809
318 237911 238270
319 237864 238130
320 237864 238001
321 237864 237903
322 237467 237868
323 237452 237800
324 237016 237628
325 237016 237429
326 236798 237215
327 236676 237107
328 236167 237474
329 234806 237546
330 234454 236652
331 233048 235813
332 232848 235120
333 232289 234147
334 229809 232967
335 229620 232122
336 229620 230885
337 229434 229904
338 229434 229715
339 229366 229540
340 229163 229433
341 229095 229391
342 229095 229221
343 229095 229151
344 228913 229111
345 228913 229056
346 228342 228971
347 228289 228800
348 227718 228548
349 226759 228156
350 226188 227695
351 226021 227075
352 225688 226627
353 224529 226075
354 224529 225624
355 224300 225071
356 224300 224603
357 223999 224368
358 223999 224235
359 222998 224104
360 222998 223822
361 222998 223333
362 222998 223128
363 222454 222998
364 221830 222907
365 221830 222540
366 221656 222101
367 220487 221825
368 220398 221193
369 218975 220677
370 218975 220129
371 218975 219550
372 218975 219133
373 218975 219080
374 218870 218974
375 218703 219099
376 217871 219353
377 217551 219331
378 217416 218413
379 216438 217802
380 216438 217464
381 216438 216817
382 216438 216565
383 213929 216439
384 213573 215921
385 213484 214767
386 213421 214112
387 212270 213528
388 211593 213278
389 211530 212571
390 211530 212032
391 211530 211602
392 211530 211533
393 211530 211531
394 211530 211530
395 211530 211530
396 211530 211530
397 211530 211530
398 211512 211530
399 211512 211832
400 211149 212192
401 211149 212394
402 211149 212850
403 211149 211727
404 211149 211298
405 210374 211145
406 210374 211015
407 210374 210775
408 210067 210471
409 210067 210308
410 210067 210244
411 210067 210208
412 210067 210113
413 209878 210066
414 200962 209998
415 200773 208421
416 200773 204364
417 200031 201863
418 200031 200704
419 199372 200591
420 198584 200227
421 198584 199520
422 198584 198976
423 198244 198710
424 196963 198503
425 196860 198083
426 195579 197452
427 195579 196672
428 195579 196099
429 195109 195667
430 195109 195513
431 195109 195315
432 195109 195170
433 195109 195109
434 195109 195109
435 195109 195109
436 194758 195108
437 194758 195046
438 194758 194882
439 194758 194865
440 194402 194771
441 194402 195889
442 194015 195877
443 194015 195533
444 194015 194787
445 194015 194668
446 194015 194154
447 193921 194203
448 193133 193993
449 193133 193772
450 192020 193497
451 191064 193016
452 191064 192259
453 191064 191534
454 190999 191283
455 190999 191058
456 190999 191020
457 190546 191005
458 190546 190897
459 190505 190700
460 190157 190615
461 190157 190485
462 190157 190283
463 190157 190202
464 190157 190221
465 190157 190157
466 190157 190157
467 190157 190157
468 190157 190157
469 190012 190156
470 190012 190131
471 190012 190060
472 190012 190040
473 189318 190189
474 189173 189875
475 188642 189780
476 188276 189270
477 188276 188801
478 188276 188414
479 188276 188313
480 188276 188298
481 188169 188481
482 188169 188265
483 188169 188252
484 188151 188290
485 188044 188165
486 188044 188109
487 187858 188070
488 187858 188013
489 187448 187920
490 187448 187809
491 187448 187604
492 187448 187492
493 187448 187467
494 187448 187448
495 186696 187445
496 186696 187329
497 186295 187014
498 186295 186672
499 186295 186431
500 186269 186299
501 186269 186290
502 186269 186287
503 186269 186315
504 186026 186320
505 186004 186279
506 185761 186451
507 185761 186952
508 185761 186834
509 185761 185923
510 185761 185761
511 185761 185761
512 185761 185761
513 185761 185761
514 185761 185827
515 185761 185761
516 185761 185761
517 185411 185758
518 185125 185663
519 185114 185473
520 184988 185283
521 184876 185147
522 184740 185008
523 184548 184888
524 184310 184732
525 184310 184501
526 184202 184375
527 184202 184297
528 184202 184241
529 184202 184219
530 184202 184223
531 184202 184227
532 184202 184202
533 183595 184367
534 183595 184080
535 183595 183819
536 183303 183643
537 183303 183573
538 182886 183433
539 181731 183246
540 181731 182788
541 181642 182139
542 181489 181947
543 181489 182217
544 181401 181997
545 181287 181684
546 180043 181763
547 180043 181298
548 180043 180530
549 180043 180205
550 180043 180122
551 180043 180043
552 180043 180043
553 179979 180042
554 179188 180027
555 179188 179876
556 179188 179497
557 179188 179284
558 179188 179252
559 179188 179229
560 179188 179188
561 179188 179206
562 178732 179369
563 178440 179291
564 177985 178997
565 177985 178483
566 177985 178146
567 177838 178067
568 177838 178270
569 177838 178131
570 177838 178209
571 177838 178199
572 177838 177839
573 177838 177904
574 177838 177838
575 177760 177838
576 177760 177824
577 177760 177824
578 177760 177767
579 177760 177858
580 177760 177762
581 177760 177760
582 177760 177760
583 177760 177760
584 177760 177760
585 177760 177760
586 177760 177891
587 177760 177760
588 177760 177760
589 177760 177760
590 177760 177760
591 177760 177760
592 177222 177758
593 177222 177656
594 177222 177491
595 177222 177400
596 177128 177229
597 177128 177203
598 177128 177162
599 176652 177130
600 176652 178325
601 176566 181111
602 176566 181169
603 176566 179607
604 176566 177331
605 176566 176566
606 176566 176566
607 176566 176566
608 176566 176566
609 176566 176566
610 176566 176588
611 176566 176566
612 176539 176566
613 176539 176560
614 176393 176549
615 176393 176520
616 176201 176457
617 176201 176373
618 176201 176294
619 176201 176220
620 176201 176206
621 176201 176284
622 176201 176201
623 175698 176199
624 175698 176097
625 175698 175861
626 175698 175731
627 175698 175706
628 175698 175698
629 175698 175711
630 175698 175698
631 175698 175698
632 175474 175698
633 175474 175653
634 175474 175584
635 175474 175519
636 175474 175480
637 175474 175497
638 175474 175474
639 175474 175474
640 175474 175475
