#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         175     7.60112     7.06166   0.0819694
         176      7.6252     7.06486   0.0815662
         177     7.46146      7.0671   0.0811361
         178     7.47403     7.06939   0.0807125
         179      7.4864     7.07172   0.0802952
         180     7.65709     7.07497   0.0799149
         181     7.42766     7.07692   0.0794972
         182     7.52598     7.07939   0.0790987
         183      7.2346     7.08023    0.078671
         184     7.18935     7.08083   0.0782456
         185     6.91487     7.07993   0.0778278
         186     7.22089     7.08069   0.0774131
         187     7.03984     7.08047   0.0769994
         188     6.88521     7.07943   0.0765969
         189     6.83996     7.07816   0.0762021
         190     7.05052     7.07802   0.0758011
         191     7.02293     7.07773   0.0754048
         192     7.29163     7.07884   0.0750203
         193     7.18113     7.07937   0.0746335
         194     7.57566     7.08193   0.0742926
         195     7.55074     7.08434   0.0739505
         196     7.48011     7.08636   0.0736008
         197     7.42238     7.08806   0.0732469
         198     7.72159     7.09126   0.0729469
         199     7.59858     7.09381   0.0726248
         200     7.70255     7.09685   0.0723254
         201     7.47273     7.09872   0.0719898
         202      7.3195     7.09982   0.0716417
         203     7.10419     7.09984   0.0712888
         204     7.32149     7.10093   0.0709476
         205     6.89075      7.0999   0.0706089
         206     7.09816     7.09989   0.0702662
         207     7.03531     7.09958   0.0699274
         208      7.3711     7.10089   0.0696034
         209     7.15271     7.10113   0.0692708
         210      7.2172     7.10169   0.0689432
         211     6.95262     7.10098     0.06862
         212     7.31047     7.10197   0.0683035
         213     7.29906     7.10289   0.0679891
         214     7.10084     7.10288   0.0676714
         215     7.51641     7.10481   0.0673839
         216      7.5203     7.10673   0.0670994
         217     7.59919       7.109   0.0668286
         218     7.72885     7.11184   0.0665825
         219     7.68609     7.11446   0.0663301
         220     7.20382     7.11487   0.0660298
         221     7.47063     7.11648   0.0657507
         222     7.77898     7.11947   0.0655222
         223     7.67184     7.12194   0.0652752
         224      7.5169     7.12371   0.0650076
         225     7.50486      7.1254   0.0647407
         226     7.72554     7.12805   0.0645087
         227     7.49621     7.12968   0.0642449
         228     7.60148     7.13175   0.0639964
         229     8.01326      7.1356   0.0638326
         230     7.80818     7.13852    0.063622
         231      8.1407     7.14286   0.0634944
         232     8.08934     7.14694   0.0633516
         233     8.09241       7.151   0.0632095
         234     8.47125     7.15664   0.0631907
         235     8.11475     7.16071   0.0630532
         236     7.69815     7.16299   0.0628272
         237     7.76236     7.16552   0.0626129
         238     7.56326     7.16719   0.0623722
         239     7.44739     7.16836   0.0621222
         240     7.38026     7.16925   0.0618696
         241     7.15409     7.16918   0.0616129
         242     7.32214     7.16982   0.0613616
         243      7.2683     7.17022   0.0611104
         244     6.83603     7.16885   0.0608753
         245     6.74423     7.16712   0.0606515
         246     6.86072     7.16587   0.0604177
         247      6.9005      7.1648   0.0601827
         248     7.01158     7.16418   0.0599432
         249     7.38821     7.16508   0.0597092
         250     7.15192     7.16503   0.0594704
         251     7.28076     7.16549   0.0592352
         252     7.56522     7.16708   0.0590214
         253     6.95038     7.16622   0.0587943
         254     6.82362     7.16487   0.0585783
         255     6.87535     7.16373   0.0583596
         256     7.03277     7.16322   0.0581339
         257     7.51597      7.1646   0.0579239
         258     7.89619     7.16743   0.0577688
         259     8.02435     7.17074   0.0576404
         260     8.00263     7.17394   0.0575074
         261     8.00493     7.17712   0.0573751
         262     7.68196     7.17905   0.0571885
         263     7.44585     7.18006   0.0569801
         264     7.89966     7.18279   0.0568294
         265     7.69876     7.18474   0.0566483
         266     7.84721     7.18723     0.05649
         267     8.16117     7.19088   0.0563961
         268     7.98115     7.19382   0.0562627
         269       8.419     7.19838   0.0562376
         270     8.42829     7.20293   0.0562135
         271      8.1212     7.20632   0.0561081
         272     7.62739     7.20787   0.0559232
         273     7.62834     7.20941   0.0557395
         274     7.13582     7.20914   0.0555368
         275     7.12434     7.20883   0.0553357
         276     7.23538     7.20893   0.0551352
         277     7.10798     7.20857   0.0549374
         278     6.92952     7.20756    0.054749
         279     6.89046     7.20643   0.0545645
         280     6.43542     7.20367   0.0544391
         281     6.15459     7.19994   0.0543732
         282     6.29062     7.19671   0.0542759
         283     6.23065      7.1933   0.0541914
         284     6.83531     7.19204   0.0540152
         285     7.56928     7.19336   0.0538419
         286     7.60995     7.19482   0.0536734
         287      7.6274     7.19633   0.0535075
         288      7.3662     7.19692    0.053325
         289     7.27753      7.1972   0.0531412
         290     7.06762     7.19675   0.0529598
         291     7.23149     7.19687    0.052778
         292     7.05881      7.1964   0.0525993
         293     7.13973      7.1962   0.0524202
         294      7.2649     7.19644   0.0522424
         295     7.29167     7.19676   0.0520663
         296     7.29336     7.19709   0.0518914
         297     6.71714     7.19547   0.0517419
         298     6.64927     7.19364   0.0516007
         299     6.86164     7.19253     0.05144
         300     7.08508     7.19217   0.0512698
         301     6.93797     7.19132   0.0511064
         302     7.08244     7.19096   0.0509385
         303     7.16603     7.19088   0.0507704
         304     7.29998     7.19124   0.0506047
         305     7.15068     7.19111    0.050439
         306     7.50499     7.19213   0.0502846
         307       7.604     7.19347   0.0501387
         308     7.38602      7.1941   0.0499798
         309     7.53528      7.1952   0.0498302
         310     7.52163     7.19626   0.0496806
         311     7.58013     7.19749   0.0495362
         312     7.22001     7.19756   0.0493775
         313     7.50733     7.19855   0.0492296
         314     7.63255     7.19993   0.0490922
         315      7.4446     7.20071   0.0489425
         316     7.48686     7.20162    0.048796
         317     7.42057     7.20231    0.048647
         318     7.38829     7.20289   0.0484975
         319     6.90631     7.20196   0.0483544
         320     6.88717     7.20098   0.0482133
         321     6.86598     7.19994   0.0480744
         322     7.33089     7.20034   0.0479268
         323     7.49387     7.20125   0.0477871
         324     7.50511     7.20219   0.0476488
         325     7.33665      7.2026    0.047504
         326     6.87527      7.2016   0.0473688
         327     6.76631     7.20027   0.0472427
         328     7.10514     7.19998   0.0470995
         329      6.8045     7.19878   0.0469717
         330     6.69596     7.19725   0.0468541
         331     6.51756      7.1952   0.0467575
         332     6.36322     7.19269   0.0466838
         333     6.55746     7.19078   0.0465826
         334     6.26626     7.18802   0.0465253
         335     6.70178     7.18656    0.046409
         336     6.53693     7.18463   0.0463111
         337     6.83523     7.18359   0.0461853
         338     6.81517      7.1825   0.0460615
         339     6.62715     7.18087   0.0459548
         340     6.73498     7.17955   0.0458383
         341     7.16449     7.17951   0.0457039
         342     7.04497     7.17912    0.045572
         343     7.13379     7.17899   0.0454393
         344     7.37732     7.17956   0.0453109
         345     7.27527     7.17984   0.0451804
         346     7.34512     7.18032   0.0450523
         347     7.59754     7.18152   0.0449386
         348     6.90212     7.18072   0.0448166
         349     7.21664     7.18082   0.0446883
         350     7.03763     7.18041   0.0445625
         351     6.90967     7.17964   0.0444422
         352     7.10597     7.17943   0.0443164
         353     7.25042     7.17963   0.0441914
         354     7.56969     7.18073   0.0440803
         355     7.46888     7.18154   0.0439636
         356     7.46645     7.18234   0.0438473
         357     7.30049     7.18268   0.0437258
         358     7.38469     7.18324   0.0436073
         359     7.53843     7.18423    0.043497
         360     7.33549     7.18465   0.0433782
         361     7.27288     7.18489   0.0432588
         362     7.34302     7.18533   0.0431415
         363     7.14478     7.18522   0.0430228
         364      7.0994     7.18498   0.0429052
         365     6.86959     7.18412   0.0427964
         366     7.00844     7.18364   0.0426821
         367     6.71711     7.18237   0.0425848
         368     6.86096     7.18149    0.042478
         369     6.81959     7.18051   0.0423742
         370      6.7415     7.17933   0.0422763
         371     7.25465     7.17953   0.0421628
         372     7.38168     7.18007    0.042053
         373     7.43676     7.18076   0.0419459
         374     7.30317     7.18109    0.041835
         375     7.03516      7.1807   0.0417252
         376     7.11522     7.18053   0.0416146
         377     6.62986     7.17907   0.0415299
         378     6.83481     7.17815     0.04143
         379     6.57184     7.17655   0.0413515
         380     6.52487     7.17484   0.0412783
         381     6.38735     7.17277   0.0412216
         382     7.16431     7.17275   0.0411137
         383     6.63042     7.17133   0.0410308
         384     6.33717     7.16916   0.0409814
         385     7.35968     7.16966   0.0408779
         386     7.40202     7.17026   0.0407765
         387     7.46103     7.17101    0.040678
         388     7.13265     7.17091   0.0405733
         389     7.18964     7.17096    0.040469
         390     7.07708     7.17072    0.040366
         391     6.92844      7.1701   0.0402675
         392     7.24295     7.17029   0.0401652
         393     7.19808     7.17036   0.0400631
         394     7.33614     7.17078   0.0399636
         395     7.44982     7.17148   0.0398687
         396     7.54696     7.17243   0.0397792
         397     7.66664     7.17368   0.0396985
         398     7.62294      7.1748   0.0396148
         399      7.8565     7.17651   0.0395524
         400     7.72131     7.17788   0.0394769
         401     8.03823     7.18002   0.0394367
         402     7.92172     7.18187   0.0393818
         403     7.94374     7.18376   0.0393294
         404     8.09074       7.186   0.0392961
         405     7.72798     7.18734   0.0392218
         406     7.75027     7.18873   0.0391497
         407     7.83175     7.19031   0.0390854
         408     7.96037     7.19219   0.0390351
         409     8.24868     7.19478   0.0390251
         410     8.19479     7.19722    0.039006
         411      7.6486     7.19831   0.0389266
         412     7.27202     7.19849   0.0388325
         413     7.56334     7.19938   0.0387485
         414     7.14125     7.19924   0.0386552
         415      6.9991     7.19875   0.0385651
         416     6.87664     7.19798   0.0384801
         417      7.0214     7.19756   0.0383902
         418      6.8545     7.19674   0.0383071
         419     7.19176     7.19672   0.0382157
         420     7.08144     7.19645   0.0381257
         421     7.32472     7.19675   0.0380363
         422     7.47051      7.1974   0.0379517
         423     7.18913     7.19738    0.037862
         424     7.08607     7.19712   0.0377736
         425     7.04606     7.19676   0.0376864
         426     7.15129     7.19666   0.0375981
         427      7.1405     7.19653   0.0375103
         428     7.55883     7.19737   0.0374322
         429     7.45693     7.19798   0.0373498
         430     7.61742     7.19895   0.0372757
         431     7.15849     7.19886   0.0371893
         432     7.30013     7.19909    0.037104
         433     6.92069     7.19845   0.0370239
         434     7.01856     7.19804   0.0369409
         435     7.83301      7.1995   0.0368848
         436     8.09239     7.20154    0.036857
         437      8.1746     7.20377   0.0368399
