# VELOCITY:     ACTUAL_POFV:     AVE_POFV:        ERROR:
        3.50685       0.366204       0.271159      0.0672072
        3.56482        0.31365       0.237773      0.0536528
        3.62278        0.16613       0.175994     0.00697487
        3.68075      0.0757168      0.0886158     0.00912098
        3.73871      0.0825057      0.0750379     0.00528057
        3.79668      0.0717233      0.0555496      0.0114365
        3.85464       0.167328       0.112737      0.0386018
        3.91261      0.0587843      0.0704454     0.00824559
        3.97057      0.0411331       0.050997     0.00697487
        4.02854      0.0332259       0.110979        0.05498
         4.0865     0.00567077      0.0381779       0.022986
        4.14446     0.00351428      0.0256383       0.015644
        4.20243     0.00343441      0.0291526      0.0181855
        4.26039      0.0123799      0.0229227     0.00745492
        4.31836      0.0111019      0.0243604     0.00937512
        4.37632      0.0115013      0.0162136     0.00333212
        4.43429      0.0178909      0.0261175     0.00581709
        4.49225      0.0263571      0.0182104     0.00576062
        4.55022      0.0351428      0.0380181     0.00203316
        4.60818      0.0185298      0.0179308    0.000423575
        4.66615      0.0386571      0.0251591     0.00954455
        4.72411      0.0600623       0.035023      0.0177054
        4.78207       0.022763      0.0130188     0.00689015
        4.84004      0.0137376     0.00858603     0.00364274
          4.898      0.0160539       0.010423      0.0039816
        4.95597      0.0128591      0.0070685     0.00409456
        5.01393      0.0109422      0.0063896     0.00321917
         5.0719      0.0722824      0.0379383       0.024285
        5.12986     0.00862596     0.00443279     0.00296502
        5.18783      7.987e-05    0.000119805    2.82383e-05
        5.24579     0.00015974     0.00015974              0
        5.30376      7.987e-05     0.00015974    5.64766e-05
        5.36172      7.987e-05     0.00015974    5.64766e-05
        5.41968      7.987e-05    0.000119805    2.82383e-05
        5.47765      7.987e-05    0.000119805    2.82383e-05
        5.53561      7.987e-05    0.000119805    2.82383e-05
        5.59358     0.00015974    0.000199675    2.82383e-05
        5.65154      7.987e-05     0.00015974    5.64766e-05
        5.70951      7.987e-05    0.000119805    2.82383e-05
        5.76747      7.987e-05    0.000119805    2.82383e-05
      0.0289823              0              0              0
      0.0869468              0              0              0
       0.144911      7.987e-05    2.66233e-05    2.17379e-05
       0.202876     0.00726817     0.00697532     0.00322139
        0.26084     0.00575064      0.0107825     0.00638261
       0.318805      0.0261974      0.0182902      0.0032439
        0.37677      0.0155747      0.0229227     0.00824585
       0.434734      0.0163734      0.0263571      0.0106909
       0.492699      0.0241207      0.0567876       0.034237
       0.550663      0.0469636      0.0553233      0.0213962
       0.608628      0.0391363      0.0621389     0.00960833
       0.666592      0.0174117      0.0452863      0.0113866
       0.724557      0.0208461      0.0584915      0.0186583
       0.782521      0.0999973      0.0881233     0.00517348
       0.840486       0.137856       0.172253      0.0557151
        0.89845         0.2091       0.198397      0.0431441
       0.956415       0.143047       0.175048      0.0409578
        1.01438       0.163574       0.186869      0.0267305
        1.07234       0.242326       0.287239      0.0353112
        1.13031       0.289529       0.306089      0.0338156
        1.18827       0.289209       0.257315      0.0336462
        1.24624       0.202311       0.253694      0.0273715
         1.3042       0.304065       0.443518      0.0916031
        1.36217       0.248476        0.29291      0.0439594
        1.42013       0.239211       0.210644      0.0150463
         1.4781       0.329783       0.331274       0.038823
        1.53606       0.389686       0.381433     0.00572709
        1.59402       0.392721       0.352174       0.020777
        1.65199       0.280424       0.378957       0.043397
        1.70995       0.305104        0.33982      0.0332547
        1.76792       0.274833       0.314715      0.0282143
        1.82588       0.456777       0.435132      0.0434721
        1.88385       0.354783       0.412342      0.0563399
        1.94181       0.728814       0.521711      0.0898497
        1.99978        0.53465       0.582226      0.0729467
        2.05774       0.563723       0.446527      0.0633054
        2.11571       0.780091       0.524081       0.106446
        2.17367       0.568994       0.453555      0.0477617
        2.23163       0.461649          0.369      0.0428003
         2.2896       0.480818       0.437794      0.0341872
        2.34756       0.484092       0.470221      0.0105843
        2.40553       0.360853       0.401666      0.0250697
        2.46349       0.399909       0.353664      0.0300665
        2.52146       0.401427       0.386145     0.00841536
        2.57942       0.435931       0.423125       0.065252
        2.63739       0.366683       0.329783      0.0309474
        2.69535       0.437129       0.314661      0.0500685
        2.75332       0.297755       0.357445      0.0626869
        2.81128       0.326189       0.315354      0.0492772
        2.86924       0.290088       0.306967      0.0183256
        2.92721       0.172679       0.217779      0.0192043
        2.98517       0.148319        0.25396      0.0441919
        3.04314       0.117169       0.256649      0.0825259
         3.1011       0.182743       0.236655       0.027972
        3.15907       0.166928       0.196959      0.0135945
        3.21703       0.165091       0.193259      0.0356058
          3.275         0.2333       0.188307      0.0328394
        3.33296       0.264609       0.253161     0.00497128
        3.39093       0.155507       0.236948       0.040356
        3.44889      0.0875376       0.192034       0.055611
        3.50685        0.11078       0.217699      0.0625521
        3.56482       0.219243       0.231596      0.0361223
        3.62278       0.141929       0.164639      0.0103719
        3.68075       0.321317       0.166183      0.0636245
        3.73871       0.235137       0.128404      0.0437155
        3.79668       0.226352       0.112484      0.0471075
        3.85464       0.125636       0.117036      0.0259729
        3.91261      0.0865791      0.0758233     0.00703555
        3.97057      0.0671707      0.0563882     0.00640301
        4.02854      0.0702856      0.0974148      0.0382901
         4.0865      0.0587843      0.0450467       0.016318
        4.14446      0.0636564       0.038311      0.0146914
        4.20243      0.0464045      0.0349032      0.0130011
        4.26039      0.0299513      0.0252656     0.00532538
        4.31836      0.0145363      0.0210857     0.00679798
        4.37632     0.00383376       0.012087     0.00403576
        4.43429     0.00287532      0.0183701     0.00741985
        4.49225     0.00031948      0.0122467     0.00620151
        4.55022     0.00039935      0.0254785      0.0103279
        4.60818      0.0251591      0.0203402     0.00198744
        4.66615      0.0748382      0.0417188      0.0149434
        4.72411      0.0622188      0.0440883      0.0139324
        4.78207     0.00742791      0.0111552     0.00483891
        4.84004     0.00654934     0.00790713     0.00249095
          4.898     0.00519155     0.00867921     0.00301217
        4.95597     0.00535129      0.0064961     0.00276942
        5.01393      0.0191688      0.0106493     0.00408689
         5.0719     0.00646947      0.0274487      0.0183158
        5.12986     0.00942466     0.00609675     0.00239856
        5.18783     0.00758765     0.00260909     0.00203258
        5.24579     0.00678895     0.00236948     0.00180424
        5.30376     0.00367402     0.00133117    0.000957207
        5.36172     0.00167727    0.000665584    0.000414732
        5.41968              0      7.987e-05    3.76511e-05
        5.47765              0      7.987e-05    3.76511e-05
        5.53561              0      7.987e-05    3.76511e-05
        5.59358              0    0.000133117     5.7513e-05
        5.65154              0    0.000106493     5.7513e-05
        5.70951              0      7.987e-05    3.76511e-05
        5.76747              0      7.987e-05    3.76511e-05
      0.0289823              0              0              0
      0.0869468              0              0              0
       0.144911              0    1.99675e-05    1.72924e-05
       0.202876     0.00447272     0.00634967     0.00247605
        0.26084     0.00870583      0.0102633     0.00480802
       0.318805      0.0127792      0.0169125     0.00270976
        0.37677      0.0383376      0.0267764     0.00702745
       0.434734      0.0383376      0.0293522     0.00842726
       0.492699       0.050398      0.0551902       0.025715
       0.550663      0.0487207      0.0536727      0.0161107
       0.608628      0.0511967      0.0594033     0.00758568
       0.666592      0.0596629      0.0488805     0.00908954
       0.724557      0.0643752      0.0599624      0.0140516
       0.782521       0.100397      0.0911916     0.00470279
       0.840486       0.167567       0.171082      0.0417986
        0.89845       0.193445       0.197159      0.0323758
       0.956415       0.202471       0.181904      0.0312868
        1.01438       0.199356       0.189991      0.0202293
        1.07234       0.242885       0.276151      0.0281707
        1.13031       0.241767       0.290008      0.0289336
        1.18827         0.2706       0.260636       0.025398
        1.24624       0.314928       0.269002      0.0244374
         1.3042       0.299433       0.407497       0.075453
        1.36217       0.344799       0.305882       0.034831
        1.42013       0.430499       0.265608      0.0489195
         1.4781       0.401826       0.348912      0.0328807
        1.53606       0.400149       0.386112     0.00590508
        1.59402       0.284098       0.335155      0.0214489
        1.65199       0.296238       0.358277      0.0371496
        1.70995       0.321397       0.335215       0.025258
        1.76792       0.346955       0.322775      0.0222823
        1.82588       0.526024       0.457855      0.0380825
        1.88385       0.490322       0.431837       0.045503
        1.94181        0.68808       0.563303        0.07641
        1.99978        0.49775       0.561107      0.0576862
        2.05774       0.450707       0.447572      0.0474877
        2.11571       0.538404       0.527661      0.0798949
        2.17367       0.506376        0.46676      0.0376025
        2.23163       0.435531       0.385632       0.035184
         2.2896       0.621069       0.483613      0.0472435
        2.34756       0.324512       0.433794      0.0325305
        2.40553       0.274913       0.369978      0.0332663
        2.46349       0.367801       0.357199      0.0227567
        2.52146       0.208141       0.341644      0.0390523
        2.57942       0.283618       0.388248      0.0575092
        2.63739       0.301429       0.322695      0.0240087
        2.69535       0.285855        0.30746      0.0380658
        2.75332       0.263172       0.333877      0.0512545
        2.81128       0.370357       0.329104      0.0388291
        2.86924       0.370837       0.322934      0.0194967
        2.92721       0.361811       0.253787      0.0343495
        2.98517       0.204387       0.241567      0.0348384
        3.04314       0.189611        0.23989      0.0635734
         3.1011       0.209259       0.229806      0.0218014
        3.15907       0.178669       0.192387      0.0109379
        3.21703        0.11701       0.174197      0.0313951
          3.275       0.218125       0.195761      0.0254616
        3.33296       0.240489       0.249993     0.00462919
        3.39093        0.14776       0.214651      0.0359021
        3.44889       0.132744       0.177212       0.043639
        3.50685       0.124278       0.194344      0.0510885
        3.56482      0.0924096         0.1968      0.0405225
        3.62278       0.124517       0.154608      0.0116605
        3.68075       0.070046       0.142149      0.0520603
        3.73871       0.143766       0.132245      0.0329549
        3.79668       0.139373       0.119206      0.0358071
        3.85464       0.103831       0.113735      0.0196883
        3.91261      0.0961635      0.0809083     0.00687288
        3.97057       0.209659      0.0947059      0.0335297
        4.02854       0.113575       0.101455      0.0289299
         4.0865      0.0868187      0.0554897      0.0152176
        4.14446       0.122201      0.0592835      0.0212437
        4.20243      0.0692473      0.0434892      0.0122625
        4.26039      0.0877772      0.0408935      0.0141112
        4.31836      0.0594233      0.0306701     0.00974116
        4.37632      0.0229227      0.0147959     0.00382953
        4.43429      0.0180506      0.0182902     0.00556531
        4.49225      0.0312292      0.0169923     0.00620674
        4.55022       0.014776      0.0228029     0.00808507
        4.60818      0.0158941      0.0192287     0.00177439
        4.66615      0.0119805      0.0342842      0.0129253
        4.72411      0.0160539      0.0370797      0.0120842
        4.78207       0.020287      0.0134381     0.00413278
        4.84004      0.0416922      0.0163534     0.00754948
          4.898      0.0138974     0.00998375     0.00252587
        4.95597      0.0109422     0.00760762     0.00228929
        5.01393      0.0416922        0.01841     0.00738693
         5.0719      0.0604616      0.0357019      0.0154851
        5.12986      0.0281941      0.0116211     0.00511125
        5.18783       0.011661     0.00487207     0.00248289
        5.24579     0.00271558       0.002456     0.00135526
        5.30376     0.00223636     0.00155747    0.000744175
        5.36172     0.00175714    0.000938473    0.000390644
        5.41968     0.00183701    0.000519155    0.000381479
        5.47765              0    5.99025e-05    3.31124e-05
        5.53561              0    5.99025e-05    3.31124e-05
        5.59358              0    9.98375e-05    5.18771e-05
        5.65154              0      7.987e-05    4.89102e-05
        5.70951              0    5.99025e-05    3.31124e-05
        5.76747              0    5.99025e-05    3.31124e-05
      0.0289823              0              0              0
      0.0869468              0              0              0
       0.144911     0.00367402    0.000750778    0.000653803
       0.202876       0.015974     0.00827454     0.00262447
        0.26084     0.00431298     0.00907324     0.00399098
       0.318805     0.00822661      0.0151753     0.00266713
        0.37677      0.0214052      0.0257022     0.00570348
       0.434734      0.0684486      0.0371715     0.00971416
       0.492699       0.046085      0.0533692      0.0206364
       0.550663      0.0290727      0.0487527      0.0136191
       0.608628      0.0287532      0.0532733     0.00817857
       0.666592      0.0851415      0.0561327     0.00974434
       0.724557      0.0972018      0.0674103      0.0130669
       0.782521       0.075557      0.0880647     0.00468791
       0.840486       0.110061       0.158877      0.0351755
        0.89845       0.199915        0.19771      0.0259053
