#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
            152      -0.684421       -1.44607      0.0192791
            153      -0.679446       -1.44106      0.0197935
            154      -0.678133       -1.43611      0.0202755
            155      -0.680517       -1.43123      0.0207224
            156      -0.686563       -1.42646      0.0211322
            157       -0.69621       -1.42181      0.0215034
            158      -0.709319        -1.4173       0.021835
            159      -0.725728       -1.41295      0.0221267
            160      -0.745252       -1.40878      0.0223785
            161      -0.767676        -1.4048       0.022591
            162      -0.792718       -1.40102      0.0227653
            163      -0.820104       -1.39745      0.0229029
            164      -0.849533       -1.39411      0.0230056
            165      -0.880704         -1.391      0.0230756
            166      -0.913298       -1.38812      0.0231154
            167      -0.947001       -1.38548      0.0231274
            168      -0.981501       -1.38308      0.0231144
            169        -1.0165       -1.38091      0.0230792
            170       -1.05172       -1.37897      0.0230245
            171       -1.08689       -1.37726      0.0229531
            172       -1.12174       -1.37578      0.0228677
            173       -1.15605       -1.37451      0.0227708
            174       -1.18961       -1.37345      0.0226647
            175       -1.22222       -1.37258      0.0225516
            176       -1.25372       -1.37191      0.0224336
            177       -1.28396       -1.37141      0.0223124
            178       -1.31282       -1.37108      0.0221894
            179       -1.34019       -1.37091      0.0220662
            180         -1.366       -1.37088      0.0219436
            181       -1.39016       -1.37099      0.0218226
            182       -1.41265       -1.37122      0.0217039
            183       -1.43343       -1.37156       0.021588
            184       -1.45249         -1.372      0.0214751
            185       -1.46981       -1.37252      0.0213655
            186       -1.48542       -1.37313      0.0212593
            187       -1.49932       -1.37381      0.0211563
            188       -1.51156       -1.37454      0.0210565
            189       -1.52216       -1.37532      0.0209595
            190       -1.53119       -1.37614      0.0208653
            191       -1.53868       -1.37699      0.0207734
            192        -1.5447       -1.37786      0.0206835
            193       -1.54929       -1.37875      0.0205954
            194       -1.55251       -1.37965      0.0205087
            195       -1.55444       -1.38054      0.0204231
            196       -1.55512       -1.38144      0.0203384
            197       -1.55462       -1.38231      0.0202541
            198       -1.55302       -1.38318      0.0201702
            199       -1.55036       -1.38402      0.0200863
            200       -1.54673       -1.38483      0.0200023
            201        -1.5422       -1.38561      0.0199181
            202       -1.53687       -1.38636      0.0198336
            203       -1.53083       -1.38707      0.0197487
            204       -1.52418       -1.38775      0.0196633
            205       -1.51706       -1.38838      0.0195775
            206       -1.50961       -1.38897      0.0194913
            207       -1.50199       -1.38951      0.0194048
            208       -1.49435       -1.39002       0.019318
            209       -1.48689       -1.39048      0.0192312
            210       -1.47979        -1.3909      0.0191443
            211       -1.47323       -1.39129      0.0190575
            212       -1.46742       -1.39165       0.018971
            213       -1.46253       -1.39199      0.0188849
            214       -1.45872        -1.3923      0.0187992
            215       -1.45612       -1.39259      0.0187141
            216       -1.45485       -1.39288      0.0186297
            217       -1.45496       -1.39317       0.018546
            218       -1.45649       -1.39346      0.0184632
            219       -1.45942       -1.39376      0.0183814
            220       -1.46372       -1.39408      0.0183006
            221       -1.46929       -1.39442      0.0182209
            222       -1.47599       -1.39479      0.0181426
            223       -1.48369       -1.39518      0.0180656
            224        -1.4922       -1.39562      0.0179901
            225       -1.50133       -1.39609      0.0179163
            226       -1.51089        -1.3966      0.0178442
            227       -1.52066       -1.39714       0.017774
            228       -1.53047       -1.39773      0.0177056
            229       -1.54014       -1.39835      0.0176392
            230       -1.54951       -1.39901      0.0175748
            231       -1.55842        -1.3997      0.0175123
            232       -1.56677       -1.40042      0.0174516
            233       -1.57446       -1.40116      0.0173926
            234       -1.58141       -1.40193      0.0173354
            235       -1.58758       -1.40272      0.0172796
            236       -1.59293       -1.40353      0.0172252
            237       -1.59746       -1.40435      0.0171719
            238       -1.60118       -1.40517      0.0171197
            239       -1.60411       -1.40601      0.0170682
            240       -1.60629       -1.40684      0.0170175
            241       -1.60779       -1.40768      0.0169673
            242       -1.60861       -1.40851      0.0169175
            243       -1.60886       -1.40933       0.016868
            244       -1.60859       -1.41015      0.0168186
            245       -1.60788       -1.41095      0.0167693
            246       -1.60679       -1.41175        0.01672
            247       -1.60538       -1.41253      0.0166707
            248       -1.60374       -1.41331      0.0166213
            249       -1.60192       -1.41406      0.0165718
            250       -1.59997       -1.41481      0.0165222
            251       -1.59796       -1.41554      0.0164725
            252       -1.59594       -1.41625      0.0164226
            253       -1.59395       -1.41695      0.0163727
            254       -1.59204       -1.41764      0.0163228
            255       -1.59025       -1.41832      0.0162728
            256       -1.58859       -1.41899      0.0162228
            257       -1.58712       -1.41964      0.0161729
            258       -1.58584       -1.42028       0.016123
            259       -1.58476       -1.42092      0.0160733
            260        -1.5839       -1.42155      0.0160237
            261       -1.58327       -1.42217      0.0159743
            262       -1.58285       -1.42278      0.0159251
            263       -1.58265       -1.42339      0.0158761
            264       -1.58266       -1.42399      0.0158274
            265       -1.58287       -1.42459      0.0157791
            266       -1.58325       -1.42519       0.015731
            267       -1.58378       -1.42578      0.0156833
            268       -1.58444       -1.42637      0.0156359
            269       -1.58518       -1.42696       0.015589
            270       -1.58599       -1.42755      0.0155423
            271       -1.58682       -1.42814      0.0154961
            272       -1.58763       -1.42873      0.0154502
            273       -1.58836       -1.42931      0.0154047
            274         -1.589       -1.42989      0.0153595
            275       -1.58949       -1.43047      0.0153146
            276       -1.58978       -1.43105        0.01527
            277       -1.58982       -1.43162      0.0152256
            278       -1.58957       -1.43219      0.0151814
            279       -1.58899       -1.43275      0.0151374
            280       -1.58804       -1.43331      0.0150935
            281       -1.58666       -1.43385      0.0150497
            282       -1.58482       -1.43439      0.0150058
            283       -1.58248       -1.43491      0.0149619
            284       -1.57963       -1.43542      0.0149179
            285       -1.57622       -1.43592      0.0148737
            286       -1.57225       -1.43639      0.0148294
            287       -1.56767       -1.43685      0.0147848
            288        -1.5625       -1.43729      0.0147399
            289       -1.55672        -1.4377      0.0146946
            290       -1.55035       -1.43809      0.0146491
            291       -1.54337       -1.43845      0.0146032
            292       -1.53583       -1.43878       0.014557
            293       -1.52774       -1.43909      0.0145105
            294       -1.51914       -1.43936      0.0144637
            295       -1.51008        -1.4396      0.0144167
            296       -1.50061       -1.43981      0.0143694
            297       -1.49079       -1.43998      0.0143221
            298        -1.4807       -1.44011      0.0142747
            299       -1.47044       -1.44022      0.0142273
            300       -1.46007       -1.44028        0.01418
            301       -1.44972       -1.44031      0.0141329
            302       -1.43948       -1.44031      0.0140861
            303       -1.42947       -1.44027      0.0140397
            304        -1.4198       -1.44021      0.0139937
            305       -1.41058       -1.44011      0.0139481
            306       -1.40194       -1.43999      0.0139031
            307       -1.39399       -1.43984      0.0138586
            308       -1.38681       -1.43966      0.0138147
            309       -1.38051       -1.43947      0.0137713
            310       -1.37515       -1.43926      0.0137285
            311        -1.3708       -1.43904      0.0136861
            312       -1.36752       -1.43881      0.0136441
            313       -1.36531       -1.43858      0.0136026
