#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
            168         3.6328        4.07151      0.0229874
            169        3.66728        4.06912      0.0229755
            170        3.70227        4.06696      0.0229415
            171        3.73747        4.06503      0.0228881
            172        3.77262        4.06333       0.022818
            173        3.80745        4.06185       0.022734
            174        3.84175        4.06059      0.0226386
            175        3.87529        4.05953      0.0225339
            176        3.90789        4.05867      0.0224224
            177        3.93938        4.05799      0.0223058
            178        3.96961         4.0575       0.022186
            179        3.99846        4.05717      0.0220645
            180        4.02583        4.05699      0.0219426
            181        4.05163        4.05696      0.0218214
            182         4.0758        4.05707      0.0217018
            183        4.09829        4.05729      0.0215844
            184        4.11907        4.05763      0.0214697
            185        4.13812        4.05806       0.021358
            186        4.15544        4.05859      0.0212496
            187        4.17105        4.05919      0.0211445
            188        4.18496        4.05986      0.0210426
            189         4.1972        4.06058      0.0209438
            190        4.20781        4.06136      0.0208479
            191        4.21684        4.06217      0.0207546
            192        4.22434        4.06302      0.0206637
            193        4.23035        4.06389      0.0205748
            194        4.23495        4.06477      0.0204877
            195        4.23818        4.06566      0.0204019
            196         4.2401        4.06655      0.0203172
            197        4.24079        4.06743      0.0202333
            198        4.24029         4.0683      0.0201499
            199        4.23869        4.06916      0.0200669
            200        4.23604        4.06999      0.0199839
            201        4.23241         4.0708      0.0199008
            202        4.22789        4.07158      0.0198175
            203        4.22256        4.07232      0.0197338
            204        4.21653        4.07303      0.0196497
            205         4.2099         4.0737      0.0195652
            206        4.20279        4.07433      0.0194802
            207        4.19535        4.07491      0.0193949
            208        4.18773        4.07545      0.0193092
            209        4.18011        4.07595      0.0192234
            210        4.17266        4.07641      0.0191373
            211        4.16557        4.07684      0.0190513
            212        4.15903        4.07722      0.0189654
            213        4.15324        4.07758      0.0188797
            214        4.14836        4.07791      0.0187944
            215        4.14456        4.07822      0.0187095
            216        4.14197        4.07852      0.0186252
            217         4.1407         4.0788      0.0185416
            218        4.14082        4.07909      0.0184587
            219        4.14235        4.07938      0.0183767
            220        4.14529        4.07968      0.0182956
            221        4.14958        4.07999      0.0182156
            222        4.15514        4.08033      0.0181366
            223        4.16184         4.0807       0.018059
            224        4.16953        4.08109      0.0179827
            225        4.17803        4.08152       0.017908
            226        4.18715        4.08199      0.0178348
            227         4.1967         4.0825      0.0177634
            228        4.20647        4.08304      0.0176938
            229        4.21628        4.08362      0.0176261
            230        4.22594        4.08424      0.0175603
            231         4.2353        4.08489      0.0174965
            232        4.24422        4.08558      0.0174346
            233        4.25257         4.0863      0.0173745
            234        4.26025        4.08704      0.0173161
            235         4.2672        4.08781      0.0172594
            236        4.27337        4.08859      0.0172041
