1 2.6448e-07
0.884442 0.466651
0.847657 0.530545
0.75035 0.66104
0.617572 0.786514
0.599585 0.800311
0.326648 0.945146
0.324968 0.945725
0.309373 0.950941
0.0421821 0.99911
-0.0974842 0.995237
-0.418205 0.908353
-0.672585 0.74002
-0.871769 0.489917
-0.952502 0.304532
-0.977675 0.210121
-0.997691 0.0679103
-0.79793 -0.602751
-0.593449 -0.804872
-0.37358 -0.927598
-0.276511 -0.961011
-0.200482 -0.979697
-0.187378 -0.982288
-0.137889 -0.990448
-0.117817 -0.993035
0.110235 -0.993906
0.319849 -0.947469
0.390604 -0.920559
0.487509 -0.873118
0.826313 -0.563211
0.929651 -0.368441
0.980815 -0.194938
0.996791 -0.0800441
0.997692 -0.0678961
1 2.6448e-07
