2.000000000000000000e+00 -4.581250000000000044e-01 -4.627780000000000227e-01 2.831490000000000092e-04
1.949999999999999956e+00 -4.812230000000000119e-01 -4.730400000000000160e-01 3.230640000000000226e-04
1.899999999999999911e+00 -4.846520000000000272e-01 -4.834030000000000271e-01 2.878819999999999925e-04
1.850000000000000089e+00 -4.968069999999999986e-01 -4.943299999999999916e-01 2.960199999999999746e-04
1.800000000000000044e+00 -5.045830000000000037e-01 -5.060980000000000478e-01 2.816340000000000076e-04
1.750000000000000000e+00 -5.236739999999999728e-01 -5.175290000000000168e-01 3.162150000000000074e-04
1.699999999999999956e+00 -5.281700000000000284e-01 -5.297929999999999584e-01 3.066319999999999875e-04
1.649999999999999911e+00 -5.440239999999999521e-01 -5.428460000000000507e-01 3.507140000000000171e-04
1.600000000000000089e+00 -5.543940000000000534e-01 -5.556410000000000515e-01 2.951119999999999893e-04
1.550000000000000044e+00 -5.703289999999999749e-01 -5.703960000000000141e-01 3.095859999999999866e-04
1.500000000000000000e+00 -5.842889999999999473e-01 -5.841380000000000461e-01 3.685679999999999989e-04
1.449999999999999956e+00 -6.045449999999999990e-01 -6.001490000000000435e-01 2.933550000000000263e-04
1.399999999999999911e+00 -6.085580000000000434e-01 -6.154619999999999536e-01 3.298730000000000043e-04
1.350000000000000089e+00 -6.272649999999999615e-01 -6.318589999999999485e-01 3.729180000000000233e-04
1.299999999999999822e+00 -6.460510000000000419e-01 -6.499549999999999494e-01 3.771480000000000015e-04
1.250000000000000000e+00 -6.657100000000000239e-01 -6.669019999999999948e-01 3.410029999999999875e-04
1.199999999999999956e+00 -6.856900000000000217e-01 -6.854970000000000230e-01 3.643259999999999945e-04
1.149999999999999911e+00 -7.027900000000000258e-01 -7.050669999999999993e-01 3.858019999999999766e-04
1.100000000000000089e+00 -7.260039999999999827e-01 -7.259440000000000337e-01 4.629449999999999798e-04
1.049999999999999822e+00 -7.499010000000000398e-01 -7.457390000000000407e-01 4.674859999999999758e-04
1.000000000000000000e+00 -7.650529999999999831e-01 -7.670949999999999713e-01 4.463900000000000138e-04
9.499999999999999556e-01 -7.826400000000000023e-01 -7.894029999999999658e-01 4.682210000000000018e-04
8.999999999999999112e-01 -8.108459999999999557e-01 -8.126259999999999595e-01 5.486469999999999802e-04
8.499999999999998668e-01 -8.366620000000000168e-01 -8.370689999999999520e-01 7.455829999999999663e-04
7.999999999999998224e-01 -8.617970000000000352e-01 -8.618299999999999850e-01 7.435020000000000517e-04
7.500000000000000000e-01 -8.836730000000000418e-01 -8.886100000000000110e-01 8.759459999999999512e-04
6.999999999999999556e-01 -9.013189999999999813e-01 -9.131510000000000460e-01 1.141869999999999908e-03
6.499999999999999112e-01 -9.302089999999999526e-01 -9.384540000000000104e-01 1.092370000000000060e-03
5.999999999999998668e-01 -9.412829999999999808e-01 -9.643570000000000197e-01 1.274519999999999906e-03
5.499999999999998224e-01 -1.008750000000000036e+00 -9.876530000000000031e-01 1.135909999999999958e-03
5.000000000000000000e-01 -9.971799999999999553e-01 -1.002480000000000038e+00 1.064300000000000012e-03
