# VELOCITY:     ACTUAL_POFV:     AVE_POFV:        ERROR:
        2.45421       0.259112       0.257733    0.000975405
        2.49617       0.246863       0.240462     0.00452588
        2.53812       0.222144       0.228599     0.00456489
        2.58007       0.200514       0.215467      0.0105734
        2.62202       0.188375       0.210115      0.0153724
        2.66397       0.178995       0.192955      0.0098711
        2.70593       0.164207       0.169504     0.00374555
        2.74788        0.14324       0.155821     0.00889569
        2.78983       0.136398        0.14644     0.00710095
        2.83178       0.140592       0.138164     0.00171671
        2.87374       0.128453       0.130715     0.00159966
        2.91569        0.11212       0.115486     0.00237999
        2.95764       0.110134       0.106768     0.00237999
        2.99959         0.1183       0.107706     0.00749111
        3.04155       0.112672       0.114989     0.00163868
         3.0835      0.0848626      0.0981051     0.00936389
        3.12545        0.07162      0.0848626     0.00936389
         3.1674      0.0737168      0.0819382     0.00581341
        3.20936      0.0593707      0.0652747     0.00417473
        3.25131      0.0661023      0.0679232     0.00128753
        3.29326      0.0551772      0.0578257     0.00187278
        3.33521      0.0441418      0.0465696     0.00171671
        3.37716      0.0372998      0.0381275    0.000585243
        3.41912      0.0424865      0.0400587     0.00171671
        3.46107       0.034872      0.0345409    0.000234097
        3.50302      0.0297957        0.03112    0.000936389
        3.54497      0.0365273      0.0377412    0.000858356
        3.58693      0.0241676      0.0237814    0.000273113
        3.62888       0.022402      0.0214088    0.000702292
        3.67083      0.0167739      0.0171601    0.000273113
        3.71278      0.0145668      0.0160014     0.00101442
        3.75474      0.0190913      0.0207466     0.00117049
        3.79669      0.0147875      0.0144564    0.000234097
        3.83864      0.0119183      0.0104285     0.00105344
        3.88059      0.0148979      0.0108699     0.00284818
        3.92255      0.0115872     0.00998708     0.00113147
         3.9645     0.00971119     0.00717304     0.00179475
        4.00645     0.00518666     0.00590396    0.000507211
         4.0484      0.0060695     0.00568326    0.000273113
        4.09035       0.008718      0.0062902     0.00171671
        4.13231     0.00717304     0.00529701     0.00132655
        4.17426     0.00640056     0.00424865     0.00152163
      0.0209762    0.000331063    0.000220709     9.0104e-05
      0.0629285     0.00231744     0.00250137    0.000196951
       0.104881      0.0113665     0.00938013    0.000911492
       0.146833      0.0145668      0.0144932     0.00124888
       0.188786      0.0216295      0.0254183     0.00278417
       0.230738      0.0323339      0.0370055     0.00269125
        0.27269      0.0389551      0.0424497     0.00202038
       0.314643      0.0584879      0.0608053     0.00127745
       0.356595       0.081552      0.0811105    0.000953572
       0.398547       0.112782       0.104322     0.00573474
         0.4405       0.129115       0.120948      0.0033826
       0.482452       0.155379       0.145668     0.00424191
       0.524404       0.147544       0.160198     0.00555008
       0.566357       0.183299        0.19187     0.00431382
       0.608309       0.201397        0.21177     0.00687059
       0.650261       0.255029       0.237887      0.0077497
       0.692214       0.318373       0.262607       0.023222
       0.734166       0.322676        0.28968      0.0137446
       0.776119        0.34883       0.317306      0.0129873
       0.818071       0.408863       0.353208      0.0227246
       0.860023       0.383813       0.359241      0.0101224
       0.901976        0.40787       0.369504      0.0157541
       0.943928       0.448701       0.414381      0.0140442
        0.98588       0.490857       0.454366      0.0193042
        1.02783        0.47022       0.447818     0.00916186
        1.06979       0.502665       0.480189      0.0104342
        1.11174       0.493836       0.488319      0.0078723
        1.15369       0.510831       0.506968     0.00742634
        1.19564       0.502113       0.520395     0.00770136
        1.23759       0.517562       0.531099     0.00555081
        1.27955       0.542061       0.546144     0.00170088
         1.3215       0.548903       0.554274     0.00840633
        1.36345       0.534005       0.567994      0.0142945
         1.4054       0.554862       0.585762      0.0127453
