#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
            168        1.17694        1.15667      0.0365377
            169        1.18131        1.15681      0.0363217
            170        1.18563        1.15698      0.0361085
            171        1.18991        1.15718      0.0358978
            172        1.19416        1.15739      0.0356898
            173        1.19839        1.15763      0.0354843
            174         1.2026        1.15789      0.0352813
            175        1.20679        1.15817      0.0350808
            176        1.21098        1.15847      0.0348827
            177        1.21516        1.15879      0.0346871
            178        1.21934        1.15913      0.0344939
            179        1.22351        1.15949      0.0343031
            180        1.22766        1.15987      0.0341146
            181        1.23181        1.16026      0.0339284
            182        1.23594        1.16068      0.0337446
            183        1.24005        1.16111       0.033563
            184        1.24412        1.16156      0.0333836
            185        1.24814        1.16203      0.0332064
            186        1.25211        1.16252      0.0330314
            187        1.25601        1.16302      0.0328586
            188        1.25982        1.16353      0.0326878
            189        1.26353        1.16406      0.0325191
            190        1.26713         1.1646      0.0323525
            191         1.2706        1.16516      0.0321879
            192        1.27393        1.16572      0.0320252
            193        1.27709         1.1663      0.0318645
            194        1.28007        1.16689      0.0317056
            195        1.28286        1.16748      0.0315486
            196        1.28543        1.16808      0.0313934
            197        1.28777        1.16869      0.0312399
            198        1.28987         1.1693      0.0310881
            199        1.29171        1.16992       0.030938
            200         1.2933        1.17054      0.0307895
            201         1.2946        1.17115      0.0306425
            202        1.29563        1.17177       0.030497
            203        1.29636        1.17238      0.0303529
            204        1.29678        1.17299      0.0302102
            205         1.2969         1.1736      0.0300689
            206        1.29672        1.17419      0.0299289
            207        1.29622        1.17478      0.0297901
            208        1.29542        1.17536      0.0296525
            209        1.29432        1.17593      0.0295161
            210        1.29291        1.17649      0.0293808
            211        1.29122        1.17703      0.0292466
            212        1.28924        1.17756      0.0291135
            213        1.28698        1.17808      0.0289813
            214        1.28445        1.17857      0.0288501
            215        1.28166        1.17905      0.0287199
            216        1.27863        1.17951      0.0285907
            217        1.27537        1.17996      0.0284623
            218         1.2719        1.18038      0.0283349
            219        1.26821        1.18078      0.0282083
            220        1.26432        1.18116      0.0280827
            221        1.26025        1.18152      0.0279579
            222        1.25601        1.18185       0.027834
            223        1.25161        1.18216      0.0277109
            224        1.24708        1.18245      0.0275887
            225        1.24241        1.18272      0.0274674
            226        1.23763        1.18296      0.0273469
            227        1.23276        1.18318      0.0272273
            228         1.2278        1.18338      0.0271086
            229        1.22278        1.18355      0.0269908
            230        1.21771         1.1837      0.0268738
            231        1.21261        1.18382      0.0267578
            232         1.2075        1.18393      0.0266427
            233         1.2024        1.18401      0.0265284
            234        1.19733        1.18406      0.0264151
            235        1.19231         1.1841      0.0263027
            236        1.18737        1.18411      0.0261913
            237        1.18252        1.18411      0.0260808
            238         1.1778        1.18408      0.0259712
            239        1.17323        1.18403      0.0258626
            240        1.16884        1.18397      0.0257549
            241        1.16465        1.18389      0.0256482
            242        1.16069        1.18379      0.0255424
            243        1.15699        1.18368      0.0254375
            244        1.15357        1.18356      0.0253335
            245        1.15045        1.18343      0.0252305
            246        1.14767        1.18328      0.0251283
            247        1.14523        1.18313      0.0250271
            248        1.14316        1.18296      0.0249267
            249        1.14147         1.1828      0.0248271
            250        1.14017        1.18263      0.0247284
            251        1.13927        1.18245      0.0246305
            252        1.13878        1.18228      0.0245334
            253        1.13869        1.18211       0.024437
            254          1.139        1.18194      0.0243414
            255        1.13971        1.18177      0.0242465
            256        1.14081        1.18161      0.0241523
            257        1.14228        1.18146      0.0240588
            258        1.14409        1.18132       0.023966
            259        1.14624        1.18118      0.0238738
            260        1.14869        1.18106      0.0237823
            261        1.15141        1.18094      0.0236915
            262        1.15438        1.18084      0.0236013
            263        1.15756        1.18075      0.0235117
            264        1.16092        1.18068      0.0234228
            265        1.16443        1.18062      0.0233345
            266        1.16806        1.18057      0.0232468
            267        1.17176        1.18054      0.0231598
            268        1.17551        1.18052      0.0230733
            269        1.17926        1.18051      0.0229876
            270        1.18298        1.18052      0.0229024
            271        1.18665        1.18054      0.0228179
            272        1.19023        1.18058      0.0227341
            273         1.1937        1.18063      0.0226508
            274        1.19703        1.18069      0.0225683
            275        1.20022        1.18076      0.0224863
            276        1.20323        1.18084       0.022405
            277        1.20606        1.18093      0.0223243
            278         1.2087        1.18103      0.0222442
            279        1.21113        1.18114      0.0221647
            280        1.21336        1.18125      0.0220859
            281        1.21538        1.18138      0.0220076
            282        1.21721         1.1815      0.0219299
            283        1.21884        1.18163      0.0218528
            284        1.22028        1.18177      0.0217763
            285        1.22154        1.18191      0.0217004
            286        1.22263        1.18205      0.0216249
            287        1.22357         1.1822      0.0215501
            288        1.22436        1.18234      0.0214758
            289        1.22503        1.18249      0.0214019
            290        1.22559        1.18264      0.0213287
            291        1.22604        1.18279      0.0212559
            292        1.22642        1.18294      0.0211836
            293        1.22672        1.18309      0.0211119
            294        1.22696        1.18324      0.0210406
            295        1.22716        1.18339      0.0209698
            296        1.22732        1.18353      0.0208995
            297        1.22745        1.18368      0.0208296
            298        1.22756        1.18383      0.0207602
            299        1.22765        1.18398      0.0206913
            300        1.22774        1.18412      0.0206229
            301        1.22781        1.18427      0.0205549
            302        1.22789        1.18441      0.0204873
            303        1.22796        1.18455      0.0204202
            304        1.22804         1.1847      0.0203535
            305        1.22811        1.18484      0.0202873
            306        1.22817        1.18498      0.0202215
            307        1.22824        1.18512      0.0201561
            308        1.22829        1.18526      0.0200911
            309        1.22833         1.1854      0.0200266
            310        1.22835        1.18554      0.0199625
            311        1.22835        1.18568      0.0198988
            312        1.22832        1.18582      0.0198355
            313        1.22827        1.18595      0.0197726
            314        1.22819        1.18609        0.01971
            315        1.22808        1.18622      0.0196479
            316        1.22793        1.18635      0.0195862
            317        1.22775        1.18648      0.0195248
            318        1.22752        1.18661      0.0194639
            319        1.22725        1.18674      0.0194033
            320        1.22693        1.18686       0.019343
            321        1.22657        1.18699      0.0192832
            322        1.22617        1.18711      0.0192237
            323        1.22572        1.18723      0.0191645
            324        1.22523        1.18735      0.0191057
            325        1.22472        1.18746      0.0190473
            326        1.22418        1.18757      0.0189892
            327        1.22362        1.18768      0.0189315
            328        1.22305        1.18779       0.018874
            329        1.22249         1.1879       0.018817
            330        1.22195          1.188      0.0187602
            331        1.22143         1.1881      0.0187038
            332        1.22096         1.1882      0.0186478
            333        1.22054         1.1883       0.018592
            334        1.22019        1.18839      0.0185366
            335        1.21992        1.18849      0.0184815
            336        1.21976        1.18858      0.0184267
            337        1.21971        1.18867      0.0183723
            338        1.21981        1.18876      0.0183181
            339        1.22005        1.18886      0.0182643
            340        1.22047        1.18895      0.0182109
            341        1.22107        1.18904      0.0181577
            342        1.22186        1.18914      0.0181049
            343        1.22286        1.18924      0.0180523
            344        1.22407        1.18934      0.0180002
            345        1.22552        1.18944      0.0179483
            346        1.22721        1.18955      0.0178967
            347        1.22913        1.18967      0.0178455
            348         1.2313        1.18979      0.0177947
            349        1.23371        1.18991      0.0177441
            350        1.23636        1.19005      0.0176939
            351        1.23925        1.19019      0.0176441
            352        1.24237        1.19033      0.0175946
            353        1.24572        1.19049      0.0175454
            354        1.24927        1.19066      0.0174966
            355        1.25303        1.19083      0.0174482
            356        1.25696        1.19102      0.0174002
            357        1.26106        1.19121      0.0173526
            358        1.26529        1.19142      0.0173053
            359        1.26965        1.19164      0.0172585
            360        1.27411        1.19187      0.0172121
            361        1.27864        1.19211      0.0171661
            362        1.28323        1.19236      0.0171205
            363        1.28783        1.19262      0.0170754
            364        1.29242         1.1929      0.0170307
            365        1.29698        1.19318      0.0169864
            366        1.30147        1.19348      0.0169425
            367        1.30588        1.19378      0.0168991
            368        1.31016         1.1941      0.0168562
            369        1.31431        1.19443      0.0168137
            370        1.31828        1.19476      0.0167715
            371        1.32206         1.1951      0.0167298
            372        1.32562        1.19546      0.0166886
            373        1.32894        1.19581      0.0166476
            374          1.332        1.19618      0.0166071
            375        1.33477        1.19655      0.0165669
            376        1.33724        1.19692      0.0165271
