#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
            152        -7.4105       -7.46603      0.0410808
            153       -7.41645        -7.4657      0.0408136
            154       -7.42195       -7.46542      0.0405496
            155       -7.42732       -7.46517      0.0402887
            156       -7.43257       -7.46497       0.040031
            157       -7.43834        -7.4648      0.0397764
            158       -7.44496       -7.46467      0.0395248
            159       -7.45047       -7.46458      0.0392763
            160       -7.45554       -7.46452      0.0390309
            161       -7.46017        -7.4645      0.0387885
            162       -7.46534        -7.4645       0.038549
            163       -7.46976       -7.46453      0.0383125
            164       -7.47441        -7.4646       0.038079
            165       -7.47865       -7.46468      0.0378483
            166       -7.48249       -7.46479      0.0376204
            167       -7.48724       -7.46492      0.0373954
            168       -7.49096       -7.46508      0.0371731
            169       -7.49528       -7.46526      0.0369536
            170       -7.49891       -7.46545      0.0367368
            171       -7.50381       -7.46568      0.0365226
            172       -7.50738       -7.46592      0.0363111
            173       -7.51095       -7.46618      0.0361021
            174       -7.51514       -7.46646      0.0358957
            175       -7.51965       -7.46677      0.0356919
            176       -7.52351       -7.46709      0.0354906
            177       -7.52736       -7.46743      0.0352917
            178        -7.5325       -7.46779      0.0350953
            179       -7.53698       -7.46818      0.0349014
            180       -7.54146       -7.46859      0.0347099
            181       -7.54429       -7.46901      0.0345206
            182       -7.54775       -7.46944      0.0343336
            183       -7.55312        -7.4699      0.0341491
            184       -7.55682       -7.47037      0.0339668
            185       -7.56046       -7.47086      0.0337866
            186       -7.56436       -7.47136      0.0336087
            187        -7.5672       -7.47187      0.0334329
            188       -7.57059        -7.4724      0.0332592
            189       -7.57387       -7.47293      0.0330876
            190       -7.57702       -7.47348      0.0329179
            191       -7.58002       -7.47404      0.0327503
            192       -7.58319       -7.47461      0.0325847
            193        -7.5852       -7.47518      0.0324209
            194       -7.58669       -7.47575      0.0322589
            195       -7.58958       -7.47634      0.0320987
            196       -7.59193       -7.47693      0.0319404
            197        -7.5937       -7.47752      0.0317837
            198       -7.59684       -7.47812      0.0316289
            199       -7.59842       -7.47873      0.0314758
            200       -7.60038       -7.47934      0.0313243
            201       -7.60172       -7.47995      0.0311743
            202       -7.60278       -7.48055      0.0310259
            203       -7.60256       -7.48115      0.0308789
            204       -7.60235       -7.48175      0.0307333
            205        -7.6012       -7.48233      0.0305889
            206       -7.60038        -7.4829      0.0304457
            207       -7.60055       -7.48347       0.030304
            208       -7.59944       -7.48403      0.0301634
            209       -7.59804       -7.48458       0.030024
            210       -7.59699       -7.48511      0.0298858
            211       -7.59534       -7.48563      0.0297487
            212       -7.59275       -7.48614      0.0296127
            213       -7.59022       -7.48663      0.0294777
            214       -7.58776        -7.4871      0.0293438
            215       -7.58538       -7.48756      0.0292108
            216       -7.58082       -7.48799      0.0290788
            217       -7.57734        -7.4884      0.0289477
            218       -7.57398       -7.48879      0.0288176
            219       -7.57074       -7.48917      0.0286884
            220       -7.56634       -7.48952      0.0285602
            221       -7.56275       -7.48985      0.0284329
            222       -7.55933       -7.49016      0.0283065
            223       -7.55511       -7.49045      0.0281811
            224       -7.54948       -7.49072      0.0280565
            225       -7.54502       -7.49096      0.0279328
            226       -7.54079       -7.49118      0.0278101
            227       -7.53584       -7.49138      0.0276883
            228       -7.52887       -7.49154      0.0275673
            229       -7.52445       -7.49168      0.0274473
            230          -7.52       -7.49181      0.0273283
            231       -7.51521       -7.49191      0.0272102
            232       -7.50946       -7.49198       0.027093
            233       -7.50471       -7.49204      0.0269767
            234       -7.49904       -7.49207      0.0268615
            235       -7.49442       -7.49208      0.0267472
            236       -7.48925       -7.49207      0.0266338
            237       -7.48518       -7.49204      0.0265215
            238       -7.48028       -7.49199      0.0264101
            239       -7.47686       -7.49192      0.0262997
            240       -7.47234       -7.49184      0.0261902
            241       -7.46741       -7.49174      0.0260817
            242       -7.46403       -7.49163      0.0259742
            243       -7.46029        -7.4915      0.0258676
            244       -7.45782       -7.49136       0.025762
            245       -7.45471       -7.49121      0.0256573
            246       -7.45292       -7.49105      0.0255534
            247       -7.45085       -7.49089      0.0254505
            248       -7.44883       -7.49072      0.0253485
            249       -7.44753       -7.49055      0.0252472
            250       -7.44696       -7.49037      0.0251469
            251       -7.44581        -7.4902      0.0250473
            252        -7.4454       -7.49002      0.0249485
            253       -7.44604       -7.48985      0.0248505
            254       -7.44708       -7.48968      0.0247533
            255        -7.4485       -7.48952      0.0246567
            256       -7.44997       -7.48936      0.0245609
            257       -7.45178       -7.48922      0.0244658
            258       -7.45458       -7.48908      0.0243713
            259       -7.45703       -7.48896      0.0242775
            260       -7.46008       -7.48885      0.0241844
            261       -7.46305       -7.48875      0.0240919
            262        -7.4659       -7.48866      0.0240001
            263       -7.46959       -7.48859       0.023909
            264       -7.47408       -7.48853      0.0238185
            265       -7.47965        -7.4885      0.0237286
            266       -7.48335       -7.48848      0.0236394
            267       -7.48742       -7.48848      0.0235509
            268       -7.49086       -7.48848       0.023463
            269       -7.49458       -7.48851      0.0233758
            270       -7.49825       -7.48854      0.0232893
            271       -7.50312        -7.4886      0.0232034
            272       -7.50627       -7.48866      0.0231182
            273       -7.51026       -7.48874      0.0230336
            274       -7.51215       -7.48883      0.0229497
            275       -7.51549       -7.48892      0.0228665
            276       -7.51799       -7.48903      0.0227839
            277       -7.51934       -7.48914      0.0227019
            278       -7.52112       -7.48925      0.0226205
            279       -7.52367       -7.48938      0.0225398
            280        -7.5257       -7.48951      0.0224596
            281       -7.52752       -7.48964      0.0223801
            282       -7.52883       -7.48978      0.0223012
            283       -7.53027       -7.48992      0.0222228
            284       -7.53217       -7.49007      0.0221451
            285       -7.53391       -7.49023      0.0220679
            286       -7.53452       -7.49038      0.0219913
            287       -7.53564       -7.49054      0.0219152
            288       -7.53598        -7.4907      0.0218397
            289       -7.53654       -7.49086      0.0217647
            290       -7.53667       -7.49101      0.0216902
            291        -7.5364       -7.49117      0.0216163
            292        -7.5367       -7.49133      0.0215428
            293       -7.53662       -7.49148      0.0214698
            294       -7.53649       -7.49163      0.0213974
            295       -7.53698       -7.49179      0.0213254
            296       -7.53743       -7.49194      0.0212539
            297       -7.53786        -7.4921      0.0211829
            298       -7.53796       -7.49225      0.0211124
            299       -7.53772        -7.4924      0.0210423
            300       -7.53779       -7.49255      0.0209727
            301       -7.53851       -7.49271      0.0209036
            302       -7.53761       -7.49285      0.0208349
            303       -7.53736         -7.493      0.0207666
            304       -7.53679       -7.49314      0.0206988
            305       -7.53718       -7.49329      0.0206315
            306       -7.53692       -7.49343      0.0205645
            307       -7.53697       -7.49357       0.020498
            308       -7.53733       -7.49372       0.020432
